lemma,rank,pos,family,rank_block,translation,canonical_lemma,source_method,template_id,quality_tier,failure_reason,policy_exclusion_reason
cabo,1001,n,n,1001_2000,end; edge; extremity,cabo,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
haremos,1008,v,v,1001_2000,to do,hacer,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
puntos,1014,n,n,1001_2000,point,punto,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
relaciones,1015,n,n,1001_2000,relation,relación,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
asi,1019,adv,adv,1001_2000,like this,asi,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
joe,1021,none,residual,1001_2000,joe,joe,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
uso,1022,n,n,1001_2000,use,uso,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
muchachos,1024,n,n,1001_2000,boy,muchacho,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
especialmente,1025,adv,adv,1001_2000,specially,especialmente,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
george,1029,none,residual,1001_2000,george,george,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
nuevas,1031,adj,adj,1001_2000,news; novelty,nuevo,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
fuerzas,1032,n,n,1001_2000,force,fuerza,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
hermosa,1037,adj,adj,1001_2000,Formosa; now known as Taiwan,hermoso,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
ninguno,1039,pron,pron,1001_2000,no,ninguno,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
serán,1040,v,v,1001_2000,to be,ser,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
tiempos,1044,n,n,1001_2000,time,tiempo,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
mismos,1045,adj,adj,1001_2000,same,mismo,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
dulce,1046,n,n,1001_2000,sweet,dulce,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
vieja,1048,adj,adj,1001_2000,female equivalent of viejo,viejo,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
luis,1058,,residual,1001_2000,louis,luis,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
acabó,1059,v,v,1001_2000,synonym of acabamiento,acabar,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
c,1060,letter,letter,1001_2000,letter,c,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,policy_excluded_single_letter
primeros,1064,adj,adj,1001_2000,first; first up,primero,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
tom,1065,none,residual,1001_2000,tom,tom,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
humanos,1066,adj,adj,1001_2000,tamale,humano,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
época,1067,n,n,1001_2000,epoch; era; age; time; day,época,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
resulta,1071,v,v,1001_2000,to result; to turn out; to end up; to prove,resultar,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
central,1077,adj,adj,1001_2000,central,central,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
muerta,1083,adj,adj,1001_2000,dead,muerto,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
miembros,1085,n,n,1001_2000,member,miembro,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
diría,1093,v,v,1001_2000,to say; to tell,decir,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
presente,1096,adj,adj,1001_2000,present,presente,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
jesús,1098,interj,interj,1001_2000,Jesus,jesús,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
resultados,1103,n,n,1001_2000,result; outcome; finding; upshot,resultado,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
tengas,1108,v,v,1001_2000,to have,tener,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
carajo,1111,n,n,1001_2000,cock,carajo,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
santa,1121,adj,adj,1001_2000,saintess,santa,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
militar,1124,adj,adj,1001_2000,military,militar,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
ciento,1129,num,num,1001_2000,hundred,ciento,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
metros,1131,n,n,1001_2000,meter,metro,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
detective,1138,n,n,1001_2000,detective,detective,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
mike,1140,none,residual,1001_2000,mike,mike,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
debía,1141,v,v,1001_2000,to owe,deber,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
segundos,1146,adj,adj,1001_2000,second,segundo,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
internacional,1152,adj,adj,1001_2000,international,internacional,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
siéntate,1155,v,v,1001_2000,to feel,siéntate,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
pensado,1156,v,v,1001_2000,to think; ponder,pensar,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
medios,1157,n,n,1001_2000,media; mass media as a whole,medio,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
viendo,1162,v,v,1001_2000,to see; to spot,ver,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
servicios,1163,n,n,1001_2000,service,servicio,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
parís,1164,,residual,1001_2000,Paris,parís,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
momentos,1166,n,n,1001_2000,moment; instant,momento,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
vidas,1171,n,n,1001_2000,life,vida,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
querías,1174,v,v,1001_2000,to desire; to want; to want to,querías,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
político,1178,adj,adj,1001_2000,political,político,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
animales,1180,n,n,1001_2000,animal,animal,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
cambiado,1190,v,v,1001_2000,changed,cambiar,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
saberlo,1191,v,v,1001_2000,to know; to understand,saberlo,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
flores,1192,n,n,1001_2000,menstruation,flor,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
larga,1195,adj,adj,1001_2000,long,largo,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
guardia,1197,n,n,1001_2000,custodian; warden,guardia,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
creía,1198,v,v,1001_2000,to believe,creer,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
debajo,1201,prep,prep,1001_2000,below; under,debajo,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
podrá,1202,v,v,1001_2000,to be able to; can,poder,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
mundial,1208,adj,adj,1001_2000,related to all the parts of the world,mundial,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
coronel,1217,n,n,1001_2000,colonel,coronel,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
derechos,1223,n,n,1001_2000,straight (not crooked or bent,derecho,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
ideas,1224,n,n,1001_2000,idea,idea,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
hechos,1229,n,n,1001_2000,clipping of Hechos de los Apóstoles (“Acts of the Apostles”): Acts,hecho,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
blanca,1233,adj,adj,1001_2000,minim; half note,blanco,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
dale,1241,v,v,1001_2000,OK; okey dokey; right,dale,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
llamas,1242,v,v,1001_2000,a name of several localities in Asturias; Spain,llamar,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
viva,1244,adj,adj,1001_2000,alive; living,vivo,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
peter,1245,none,residual,1001_2000,peter,peter,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
hicimos,1247,v,v,1001_2000,to do,hacer,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
julio,1248,n,n,1001_2000,July,julio,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
pregunto,1253,v,v,1001_2000,to ask,preguntar,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
completo,1255,adj,adj,1001_2000,full; complete,completo,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
obras,1257,n,n,1001_2000,work,obra,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
hazlo,1260,v,v,1001_2000,bundle,hazlo,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
deje,1262,v,v,1001_2000,accent,dejar,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
trae,1264,v,v,1001_2000,to bring; to fetch,traer,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
importantes,1267,adj,adj,1001_2000,important; that cares; that matters,importante,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
superior,1269,adj,adj,1001_2000,upper; higher,superior,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
planeta,1271,n,n,1001_2000,planet,planeta,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
veras,1272,n,n,1001_2000,truth,veras,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
actual,1273,adj,adj,1001_2000,present; current,actual,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
producción,1274,n,n,1001_2000,production,producción,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
capital,1279,n,n,1001_2000,capital,capital,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
dando,1284,v,v,1001_2000,to give; to give out,dar,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
necesitan,1291,v,v,1001_2000,to need,necesitar,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
tomó,1294,v,v,1001_2000,tome; volume,tomar,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
sueños,1298,n,n,1001_2000,sleep; slumber,sueño,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
estrella,1304,n,n,1001_2000,star,estrella,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
órdenes,1310,n,n,1001_2000,order,órdenes,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
hablamos,1314,v,v,1001_2000,to talk,hablar,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
ése,1316,pron,pron,1001_2000,that one,ése,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
d,1317,letter,letter,1001_2000,letter,d,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,policy_excluded_single_letter
cartas,1318,n,n,1001_2000,letter,carta,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
grupos,1320,n,n,1001_2000,group,grupo,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
asuntos,1323,n,n,1001_2000,matter; issue; business,asunto,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
nombres,1324,n,n,1001_2000,name,nombre,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
teniendo,1329,v,v,1001_2000,to have,tener,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
james,1336,none,residual,1001_2000,james,james,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
pesetas,1340,n,n,1001_2000,peseta,pesetas,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
b,1342,letter,letter,1001_2000,letter: be,b,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,policy_excluded_single_letter
té,1344,n,n,1001_2000,tea,té,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
sabías,1358,v,v,1001_2000,to know; to understand,sabías,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
daré,1360,v,v,1001_2000,to give; to give out,dar,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
quise,1368,v,v,1001_2000,to desire; to want; to want to,querer,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
modelo,1369,n,n,1001_2000,model,modelo,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
responsable,1373,adj,adj,1001_2000,responsible; answerable,responsable,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
local,1376,adj,adj,1001_2000,local,local,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
española,1378,adj,adj,1001_2000,female equivalent of español; a female Spaniard,español,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
empresas,1380,n,n,1001_2000,company,empresa,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
joder,1384,v,v,1001_2000,to annoy; bug; bother; irritate,joder,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
profesional,1385,adj,adj,1001_2000,professional,profesional,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
comandante,1387,n,n,1001_2000,commander,comandante,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
pública,1389,adj,adj,1001_2000,public,público,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
alguno,1394,pron,pron,1001_2000,some; any,alguno,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
humana,1396,adj,adj,1001_2000,female equivalent of humano,humano,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
lugares,1397,n,n,1001_2000,place,lugar,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
recursos,1398,n,n,1001_2000,writ,recurso,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
estudios,1399,n,n,1001_2000,study,estudio,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
fiscal,1401,adj,adj,1001_2000,fiscal,fiscal,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
necesitaba,1405,v,v,1001_2000,to need,necesitar,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
acciones,1409,n,n,1001_2000,action; act; deed,acción,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
familiar,1410,adj,adj,1001_2000,familial; family,familiar,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
perra,1411,n,n,1001_2000,female equivalent of perro (“dog”): bitch; female dog,perra,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
razones,1415,n,n,1001_2000,reason,razón,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
parecen,1416,v,v,1001_2000,to seem; to see fit,parecer,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
casas,1417,n,n,1001_2000,surname,casa,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
cuentas,1423,n,n,1001_2000,to count,cuenta,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
llaman,1435,v,v,1001_2000,to summon; to call,llamar,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
verme,1440,v,v,1001_2000,worm,verme,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
decirlo,1443,v,v,1001_2000,to say; to tell,decirlo,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
llena,1444,adj,adj,1001_2000,full,lleno,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
dejé,1446,v,v,1001_2000,accent,dejar,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
viernes,1448,n,n,1001_2000,Friday,viernes,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
jugando,1451,v,v,1001_2000,to play,jugar,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
francisco,1453,,residual,1001_2000,given name,francisco,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
luces,1455,n,n,1001_2000,light,luz,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
grave,1456,adj,adj,1001_2000,serious; grave,grave,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
entiende,1460,v,v,1001_2000,to understand; to fathom,entender,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
mediante,1462,prep,prep,1001_2000,by means of; through; using,mediante,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
sociales,1463,adj,adj,1001_2000,female equivalent of socio,social,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
volveré,1467,v,v,1001_2000,to return; to revert; to get back,volver,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
cuales,1468,pron,pron,1001_2000,suchlike; like (which); such as,cual,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
darme,1469,v,v,1001_2000,to give; to give out,darme,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
mary,1472,none,residual,1001_2000,mary,mary,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
sepa,1474,v,v,1001_2000,dunno; who knows,saber,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
absoluto,1475,adj,adj,1001_2000,absolute,absoluto,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
