rank,word,sentence
123,había,Había mucha gente fuera.
141,estar,Quiero estar tranquilo hoy.
148,sea,Espero que sea verdad.
185,sr.,Hablé con el sr. López.
205,será,Mañana será mejor.
237,hemos,Hemos llegado tarde.
273,ven,Ven aquí ahora.
285,sería,Sería mejor callar.
354,hice,Ayer hice café.
362,fueron,Ellos fueron ayer.
400,eran,Antes eran así.
401,haya,Ojalá haya tiempo.
434,tenido,He tenido suerte.
480,fui,Ayer fui solo.
500,ido,Ya me he ido.
504,estaban,Ellos estaban dentro.
508,siendo,Sigue siendo útil.
539,sabemos,Nosotros sabemos eso.
553,estuvo,Todo estuvo bien.
572,tuve,Tuve mucha suerte.
583,sra.,La sra. llegó temprano.
599,estará,Ella estará aquí.
607,podrías,Podrías venir mañana.
620,dr.,El dr. me llamó ayer.
623,habían,Habían salido ya.
624,hagas,No hagas eso.
626,habrá,Habrá más café.
702,hacemos,Hacemos pan casero.
706,hacía,Antes hacía frío.
729,haría,Yo haría lo mismo.
775,hubo,Hubo un error.
809,srta.,La srta. sonrió al entrar.
850,seas,Ojalá seas feliz.
858,estaría,Yo estaría allí.
861,estábamos,Estábamos en casa.
892,quiera,No creo que quiera.
968,pude,Al final pude entrar.
999,eras,Tú eras distinto.
1018,tenían,Ellos tenían razón.
1040,serán,Ellos serán puntuales.
1108,tengas,Ojalá tengas suerte.
1117,estés,Espero que estés bien.
1130,tendría,Yo tendría cuidado.
1162,viendo,Sigo viendo eso.
1198,creía,Yo creía eso.
1237,tendré,Mañana tendré tiempo.
1406,veré,Ya veré luego.
1536,vayan,Que vayan despacio.
1575,hayas,Ojalá hayas comido.
1580,irá,Él irá mañana.
1605,estén,Espero que estén bien.
1708,quiso,Ella quiso ayudar.
1721,serás,Tú serás feliz.
1747,iban,Ellos iban juntos.
1773,quiénes,No sé quiénes fueron.
1833,fuese,Aunque fuese tarde.
1850,veía,Desde allí veía todo.
1899,estarán,Ellos estarán aquí.
1968,verá,Ya verá luego.
1979,ibas,Tú ibas delante.
1994,vengan,Que vengan todos.
1998,tuvieron,Ellos tuvieron suerte.
2054,sabido,Lo he sabido hoy.
2089,hablaba,Ella hablaba bajo.
2115,seres,Hay seres extraños.
2153,éramos,Éramos muy jóvenes.
2158,estan,En el chat escribió estan sin tilde.
2197,harán,Ellos harán ruido mañana.
2281,podré,Yo podré ir.
2314,dra.,La dra. me atendió hoy.
2357,podían,Antes podían entrar.
2424,poderes,Tiene grandes poderes.
2466,pongo,Yo pongo la mesa.
2468,podrán,Ellos podrán entrar.
2536,fueras,Ojalá fueras tú.
2604,pones,Tú pones la mesa.
2716,des,No des más vueltas.
2790,irás,Tú irás mañana.
2808,supo,Él lo supo ayer.
2865,daría,Yo daría si pudiera.
2972,hacían,Antes hacían ruido.
3017,estuvieron,Ellos estuvieron allí.
3048,vean,Ojalá vean eso.
3071,esperas,Tú esperas fuera.
3116,serían,Ellos serían si pudieran.
3172,iría,Yo iría si pudiera.
3228,pusieron,Ellos pusieron la mesa.
3237,sabrá,Ya sabrá mañana.
3310,sabían,Ellos sabían eso.
3331,pudieron,Ellos pudieron ayer.
3364,estando,Sigo estando ahora.
3428,quieran,Ojalá quieran venir.
3500,seamos,Ojalá seamos libres.
3617,vd.,¿Cómo está vd. hoy?
3674,habrían,Habrían llegado antes.
3702,digan,Que digan la verdad.
3781,sienten,Ellos sienten miedo.
3846,decían,Antes decían la verdad.
4071,decimos,Nosotros decimos la verdad.
4125,sabría,Yo sabría si pudiera.
4194,encontrará,Mañana encontrará.
4442,morirá,Algún día morirá.
4520,ponía,Antes ponía música.
4591,ee.uu.,Vivió en ee.uu. varios años.
4640,sepan,Ojalá sepan eso.
4836,volvía,Siempre volvía tarde.
5001,pongan,Que pongan música.
5056,estarían,Ellos estarían si pudieran.
5061,ponemos,Nosotros ponemos la mesa.
5420,creído,Siempre lo había creído.
5502,mundos,Existen muchos mundos.
5530,harían,Ellos harían lo mismo.
5697,dato,Ese dato importa.
5720,vería,Yo vería si pudiera.
5796,tendrían,Ellos tendrían razón.
5814,venían,Ellos venían juntos.
6114,serios,Se pusieron serios.
6138,empezaba,Antes empezaba aquí.
6206,sacando,Sigo sacando ahora.
6343,dirán,Ellos dirán algo.
6608,mañanas,Las mañanas son tranquilas.
6926,sabré,Yo sabré mañana.
7092,saldré,Yo saldré mañana.
7137,comisiones,Las comisiones son altas.
7672,a.m.,La cita es a las 8 a.m.
7735,entraba,Antes entraba aquí.
7830,llamará,Mañana llamará.
7961,favores,No pido favores.
8323,lees,Tú lees mucho.
8576,pagamos,Nosotros pagamos hoy.
8681,amores,Los amores cambian.
9037,parecerá,Mañana parecerá.
9057,vivirá,Mañana vivirá.
9306,quisieron,Ellos quisieron ayer.
9337,comenzaba,Antes comenzaba aquí.
9522,cambiamos,Nosotros cambiamos hoy.
9541,maridos,Sus maridos trabajan fuera.
9650,p.m.,Nos vemos a las 6 p.m.
9670,miedos,Tiene muchos miedos.
9753,disparan,Ellos disparan aquí.
9754,acabando,Sigo acabando ahora.
9786,e-mail,Te mandé un e-mail ayer.
9921,olvidaba,Antes olvidaba aquí.
9994,preguntamos,Nosotros preguntamos hoy.
10027,contará,Mañana contará.
10081,justos,No todos fueron justos.
10336,presentaba,Antes presentaba aquí.
10422,logran,Ellos logran entrar.
10432,roban,Ellos roban de noche.
10499,morimos,Aquí morimos luchando.
10529,decido,Yo decido hoy.
10540,creamos,Nosotros creamos hoy.
10637,salvando,Sigo salvando ahora.
10674,realidades,Hay realidades duras.
10684,es-,La palabra es- quedó cortada.
10780,navidades,Las navidades se acercan.
11030,controlan,Ellos controlan todo.
11086,partiendo,Sigo partiendo ahora.
11295,d.c.,Eso ocurrió en el siglo II d.c.
11457,mandos,Cambiaron los mandos.
11652,terminaba,Antes terminaba aquí.
11724,encontrando,Sigo encontrando ahora.
11776,formaciones,Hay formaciones nuevas.
11833,observan,Ellos observan en silencio.
11873,supieron,Ellos supieron ayer.
11938,aceptará,Mañana aceptará.
12036,ocupará,Mañana ocupará.
12070,dirían,Ellos dirían que no.
12362,salvará,Mañana salvará.
12420,ratos,Tengo ratos libres.
12507,precisos,Necesitamos datos precisos.
12527,dormimos,Nosotros dormimos hoy.
12767,parecemos,Hoy parecemos cansados.
12800,ayudamos,Nosotros ayudamos hoy.
12937,bolívares,Me quedaban pocos bolívares.
12982,resultará,Mañana resultará.
13014,actuaba,Antes actuaba aquí.
13053,vendrían,Ellos vendrían si pudieran.
13069,levantaba,Antes levantaba aquí.
13278,arreglará,Mañana arreglará.
13499,levantan,Ellos levantan polvo.
13553,buscará,Mañana buscará.
13560,barça,El barça ganó anoche.
13569,teatros,Cerraron dos teatros.
13759,esperará,Mañana esperará.
13785,nº,Es el nº 12 de la lista.
13831,caminó,Ayer caminó sin avisar.
13841,casan,Los casan mañana.
13844,logrará,Mañana logrará.
13984,irían,Ellos irían si pudieran.
13994,caminamos,Nosotros caminamos hoy.
14018,cuidará,Mañana cuidará.
14031,lunas,Pintó dos lunas azules.
14032,montó,Ayer montó sin avisar.
14083,marcando,Sigo marcando ahora.
14469,de-,La sílaba de- aparece al inicio.
14486,querrían,Ellos querrían si pudieran.
14568,richards,Ayer escuché a richards en directo.
14613,cantado,Ha cantado hoy.
14675,tocará,Mañana tocará.
14680,utilizaba,Antes utilizaba aquí.
14714,conocerá,Mañana conocerá.
14804,encargar,Voy a encargar la cena.
14877,alcanzando,Sigo alcanzando ahora.
14920,manejaba,Antes manejaba aquí.
14931,segundas,Prefiero las segundas partes.
14977,utilizamos,Nosotros utilizamos hoy.
14996,necesitó,Ayer necesitó sin avisar.
15069,revisamos,Nosotros revisamos hoy.
15437,creaciones,Sus creaciones sorprenden.
15443,partimos,Nosotros partimos hoy.
15553,evitó,Ayer evitó sin avisar.
15617,coca-cola,Pedí una coca-cola fría.
15750,enseñaba,Antes enseñaba aquí.
15791,cambiaba,Antes cambiaba aquí.
15816,comerá,Mañana comerá.
15852,metemos,Nosotros metemos hoy.
15936,mandamos,Nosotros mandamos hoy.
15951,cerraba,Antes cerraba aquí.
16072,tiramos,Nosotros tiramos hoy.
16082,comercios,Abrieron nuevos comercios.
16171,pesan,Estos paquetes pesan mucho.
16204,invitan,Nos invitan mañana.
16237,bailaba,Antes bailaba aquí.
16350,apartó,Ayer apartó sin avisar.
16356,despertando,Sigo despertando ahora.
16394,llorado,Ha llorado hoy.
16514,jovenes,Los jovenes llegaron pronto.
16551,contrarios,Había dos bandos contrarios.
16620,bienvenidas,Todas sois bienvenidas.
16735,mataba,Antes mataba aquí.
16839,eliminando,Sigo eliminando ahora.
17095,egoístas,Algunos son egoístas.
17177,cuestas,Las cuestas cansan.
17213,descubrirá,Mañana descubrirá.
17276,secretarios,Los secretarios llegaron pronto.
17300,realizaba,Antes realizaba aquí.
17342,ejecuciones,Hubo dos ejecuciones públicas.
17364,explicará,Mañana explicará.
17437,e-mails,Revisé los e-mails esta mañana.
17485,identificaciones,Pidieron identificaciones válidas.
17503,encargamos,Nosotros encargamos hoy.
17619,confiando,Sigo confiando ahora.
17670,subirá,Mañana subirá.
17681,dormirá,Mañana dormirá.
17685,aplicó,Ayer aplicó sin avisar.
18090,recogía,Antes recogía mucho.
18093,verían,Ellos verían si pudieran.
18381,soportaba,Antes soportaba aquí.
18413,escapaba,Antes escapaba aquí.
18436,venderá,Mañana venderá.
18448,mostramos,Nosotros mostramos hoy.
18515,sans,La palabra sans viene del francés.
18551,a-,La vocal a- suena abierta.
18638,robaba,Antes robaba aquí.
18683,pertenecemos,Todos pertenecemos aquí.
18799,añadimos,Nosotros añadimos hoy.
18891,obligando,Sigo obligando ahora.
18905,viajará,Mañana viajará.
19031,estudiamos,Nosotros estudiamos hoy.
19115,volaba,Antes volaba aquí.
19161,mejoran,Ellos mejoran poco a poco.
19234,desarrollos,Hubo varios desarrollos recientes.
19235,disparamos,Nosotros disparamos hoy.
19367,quitaba,Antes quitaba aquí.
19536,asambleas,Habrá dos asambleas hoy.
19750,evitan,Ellos evitan problemas.
19809,unes,Tú unes las piezas.
19913,amando,Sigo amando ahora.
19963,contras,También tiene sus contras.
20065,dineros,Movieron grandes dineros.
20077,lanzaba,Antes lanzaba aquí.
20704,má,"En andaluz, má puede sonar muy natural."
20812,jóven,Ese error escribió jóven con tilde.
20948,causará,Mañana causará.
20993,acostamos,Nos acostamos tarde.
21021,arrastran,Ellos arrastran aquí.
21105,comprobamos,Nosotros comprobamos hoy.
21107,cortaba,Antes cortaba aquí.
21110,pintaba,Antes pintaba aquí.
21146,declarando,Sigo declarando ahora.
21197,músicas,Me gustan esas músicas.
21239,implicaba,Antes implicaba aquí.
21363,diverso,Es un grupo diverso.
21472,disfrutó,Ayer disfrutó sin avisar.
21496,peros,Siempre pones peros.
21513,arman,Ellos arman aquí.
21789,els,Els es un artículo en catalán.
21850,grs,La caja pesa 200 grs.
21861,cuidamos,Nosotros cuidamos hoy.
21906,celebraba,Antes celebraba aquí.
21918,sabrían,Ellos sabrían si pudieran.
21972,lógicas,Las respuestas eran lógicas.
21977,utilizará,Mañana utilizará.
21978,abuelas,Mis abuelas cocinan bien.
21980,analizó,Ayer analizó sin avisar.
22078,terceras,Llegaron terceras ayer.
22086,continuando,Sigo continuando ahora.
22099,voilà,Sonrió y dijo voilà.
22173,partirá,Mañana partirá.
22192,abandonamos,Nosotros abandonamos hoy.
22201,escapará,Mañana escapará.
22236,castigando,Sigo castigando ahora.
22299,provocaba,Antes provocaba aquí.
22345,preocupando,Sigo preocupando ahora.
22380,saltaba,Antes saltaba aquí.
22389,justificó,Ayer justificó sin avisar.
22464,mayorías,Las mayorías mandan.
22524,atendía,Antes atendía mucho.
22535,necesitando,Sigo necesitando ahora.
22615,marcaba,Antes marcaba aquí.
22751,invitaba,Antes invitaba aquí.
22924,enamorar,Es fácil enamorar a alguien.
22925,lavan,Ellos lavan aquí.
22958,enfrentaba,Antes enfrentaba aquí.
23001,atravesaba,Antes atravesaba aquí.
23053,abordó,Ayer abordó sin avisar.
23159,detenía,Antes detenía mucho.
23214,repetimos,Nosotros repetimos hoy.
23284,inviernos,Los inviernos allí son duros.
23341,decidiendo,Sigo decidiendo ahora.
23680,traídos,Eran productos traídos de Francia.
23735,arrancando,Sigo arrancando ahora.
23831,limpiamos,Nosotros limpiamos hoy.
23872,apostamos,Nosotros apostamos hoy.
23912,pondrían,Ellos pondrían si pudieran.
24110,wi-fi,Aquí no hay wi-fi.
24159,aumentaba,Antes aumentaba aquí.
24259,realizamos,Nosotros realizamos hoy.
24272,iniciaba,Antes iniciaba aquí.
24355,aburriendo,Sigo aburriendo ahora.
24432,soportando,Sigo soportando ahora.
24520,firmamos,Nosotros firmamos hoy.
24594,interesará,Mañana interesará.
24598,acusaba,Antes acusaba aquí.
24630,sta.,Vivía en la calle sta. Ana.
24706,mitades,Las dos mitades encajan.
24724,ejercía,Antes ejercía mucho.
24738,abandonaba,Antes abandonaba aquí.
24789,montan,Ellos montan aquí.
24894,ubican,Ellos ubican aquí.
24895,afectaba,Antes afectaba aquí.
24923,demostraba,Antes demostraba aquí.
24940,emperadores,Los emperadores cayeron.
25034,salvos,Todos salieron salvos.
25037,vds.,Espero que vds. estén bien.
25064,creaba,Antes creaba aquí.
25265,informaba,Antes informaba aquí.
25518,mirará,Mañana mirará.
25628,probará,Mañana probará.
25782,soñamos,Nosotros soñamos hoy.
25849,co2,El co2 sigue aumentando.
25859,intercambiamos,Nosotros intercambiamos hoy.
25880,recuperan,Ellos recuperan aquí.
25895,iniciamos,Nosotros iniciamos hoy.
25952,arrancan,Ellos arrancan aquí.
25973,curan,Ellos curan heridas.
26021,apoyas,Tú apoyas la idea.
26037,al-qaeda,El informe mencionaba a al-qaeda.
26064,espacio-tiempo,El espacio-tiempo sigue fascinándome.
26079,cargaba,Antes cargaba aquí.
26132,inventan,Ellos inventan excusas.
26158,alzaba,Antes alzaba aquí.
26185,obtenía,Antes obtenía mucho.
26247,debidos,Los pagos debidos vencen hoy.
26258,ping-pong,Jugamos al ping-pong ayer.
26300,publicaba,Antes publicaba aquí.
26328,asistimos,Nosotros asistimos hoy.
26354,destacaba,Antes destacaba aquí.
26362,mencionaba,Antes mencionaba aquí.
26459,cogerá,Mañana cogerá.
26460,comunicaba,Antes comunicaba aquí.
26513,salvan,Ellos salvan aquí.
26706,golpeamos,Nosotros golpeamos hoy.
26778,arreglaba,Antes arreglaba aquí.
26812,hierros,Vendieron los hierros viejos.
26868,publicamos,Nosotros publicamos hoy.
26904,encerraba,Antes encerraba aquí.
27040,leídos,Los mensajes ya están leídos.
27166,informamos,Nosotros informamos hoy.
27179,cogidos,Los dejé cogidos allí.
27329,gustamos,No siempre gustamos a todos.
27364,significas,Tú significas mucho para mí.
27372,animaba,Antes animaba aquí.
27431,lavaba,Antes lavaba aquí.
27533,construirá,Mañana construirá.
27670,saldrían,Ellos saldrían si pudieran.
27698,tardamos,Nosotros tardamos hoy.
27739,odios,Los odios duran años.
27935,resolvemos,Nosotros resolvemos hoy.
27972,alimentó,Ayer alimentó sin avisar.
28071,prestamos,Nosotros prestamos hoy.
28420,nacía,Allí nacía el río.
28424,rechazaba,Antes rechazaba aquí.
28438,en-,El prefijo en- cambia el sentido.
28474,manipulaciones,Denunció varias manipulaciones.
28565,cocinan,Ellos cocinan juntos.
28632,imagenes,Las imagenes salieron borrosas.
28639,votando,Sigo votando ahora.
28646,circulaba,Antes circulaba aquí.
28662,modifican,Ellos modifican el plan.
28792,observas,Tú observas en silencio.
28868,denunciando,Sigo denunciando ahora.
28893,andará,Mañana andará.
28925,historiales,Revisé los historiales médicos.
28933,pasean,Ellos pasean juntos.
28969,sis,El sis es una sigla médica.
29031,casando,Sigue casando parejas.
29101,instalan,Ellos instalan el sistema.
29179,cánceres,Algunos cánceres avanzan rápido.
29248,descansaba,Antes descansaba aquí.
29388,saludaba,Antes saludaba aquí.
29393,acordará,Mañana acordará.
29396,arriesgan,Ellos arriesgan mucho.
29437,helando,Sigo helando ahora.
29464,longitudes,Comparamos las longitudes.
29539,agarraba,Antes agarraba aquí.
29724,córdobas,Cambió euros por córdobas.
29727,importamos,Nosotros importamos hoy.
29741,asís,San asís inspira a mucha gente.
29773,cansadas,Llegaron cansadas.
29811,explicamos,Nosotros explicamos hoy.
29866,coroneles,Los coroneles llegaron tarde.
29927,españas,Hay muchas españas posibles.
29971,mencionamos,Nosotros mencionamos hoy.
30059,declarará,Mañana declarará.
30060,evitaba,Antes evitaba aquí.
30218,menudos,Menudos días llevamos.
30233,apartando,Sigo apartando ahora.
30265,atacaba,Antes atacaba aquí.
30278,operaba,Antes operaba aquí.
30324,majestades,Sus majestades ya entran.
30402,liberamos,Nosotros liberamos hoy.
30451,x-men,De niño veía x-men.
30459,colaboraciones,Buscamos nuevas colaboraciones.
30559,firmaba,Antes firmaba aquí.
30608,aprovechaba,Antes aprovechaba aquí.
30629,soltaba,Antes soltaba aquí.
30640,diarreas,Las diarreas causan deshidratación.
30724,saberes,Comparto mis saberes.
30736,cariños,Te mando cariños.
30778,derivó,Ayer derivó sin avisar.
30822,hielos,Trae los hielos ya.
30852,à,La preposición à aparece en francés.
31093,solicitará,Mañana solicitará.
31150,respiramos,Nosotros respiramos hoy.
31176,probaba,Antes probaba aquí.
31230,concluirá,Mañana concluirá.
31426,pescó,Ayer pescó sin avisar.
31449,cocinó,Ayer cocinó sin avisar.
31561,concedía,Antes concedía mucho.
31601,detalló,Ayer detalló sin avisar.
31644,asistencias,Las asistencias quedaron registradas.
31753,respiró,Ayer respiró sin avisar.
31758,vestimos,Nos vestimos rápido.
31844,rozar,No debes rozar la pared.
31916,molestamos,Nosotros molestamos hoy.
31927,tic-tac,El reloj hacía tic-tac toda la noche.
31935,apreció,Ayer apreció sin avisar.
32074,certificar,Necesitan certificar la firma.
32304,pisan,Ellos pisan fuerte.
32356,callaba,Antes callaba aquí.
32482,para-,El prefijo para- aparece en medicina.
32565,humores,Sus humores cambiaban mucho.
32572,petróleos,Subieron los petróleos.
32719,experimentamos,Nosotros experimentamos hoy.
32770,equivocando,Sigo equivocando ahora.
32826,ruegos,Ignoró todos los ruegos.
32845,comunicamos,Nosotros comunicamos hoy.
32868,revisaba,Antes revisaba aquí.
32882,descansará,Mañana descansará.
32941,adivinaba,Antes adivinaba aquí.
32974,aprendía,Antes aprendía mucho.
33007,aplicaba,Antes aplicaba aquí.
33114,gritamos,Nosotros gritamos hoy.
33138,condenando,Sigo condenando ahora.
33156,limpiará,Mañana limpiará.
33206,recepciones,Las recepciones fueron largas.
33210,saltará,Mañana saltará.
33254,aplicamos,Nosotros aplicamos hoy.
33294,desarrollamos,Nosotros desarrollamos hoy.
33325,con-,El prefijo con- indica compañía.
33554,apuestos,Van muy apuestos.
33560,complicando,Sigo complicando ahora.
33729,equivocar,Es fácil equivocar el camino.
33745,pesares,Guarda muchos pesares.
33843,graduar,Hay que graduar la vista.
33873,apartan,Ellos apartan aquí.
33885,encajado,Ha encajado hoy.
33892,identificaba,Antes identificaba aquí.
33893,incluimos,Nosotros incluimos hoy.
33951,asustamos,A veces asustamos a la gente.
33991,conversado,Ha conversado hoy.
34006,involucrando,Sigo involucrando ahora.
34103,sobrinas,Mis sobrinas juegan juntas.
34131,latinas,Son voces latinas.
34242,rocks,Le gustan los rocks clásicos.
34267,jr.,Carlos jr. llegó más tarde.
34334,confesaba,Antes confesaba aquí.
34351,notando,Sigo notando ahora.
34353,podar,Quiero podar el limonero.
34527,ochos,Marcó dos ochos seguidos.
34801,tituló,Ayer tituló sin avisar.
34884,entusiasmó,Ayer entusiasmó sin avisar.
34897,proyectaba,Antes proyectaba aquí.
34911,conformó,Ayer conformó sin avisar.
34919,determinando,Sigo determinando ahora.
34964,casualidades,No creo en las casualidades.
34968,constituciones,Estudia varias constituciones.
35020,cenó,Ayer cenó sin avisar.
35094,peleará,Mañana peleará.
35112,arruinamos,Nosotros arruinamos hoy.
35126,dels,Dels aparece mucho en catalán.
35133,eliminará,Mañana eliminará.
35160,admitimos,Nosotros admitimos hoy.
35170,certezas,Ya no tengo certezas.
35184,lisas,Las paredes quedaron lisas.
35337,tirará,Mañana tirará.
35478,operamos,Nosotros operamos hoy.
35484,sudaba,Antes sudaba aquí.
35511,giramos,Nosotros giramos hoy.
35527,respondemos,Nosotros respondemos hoy.
35542,apartaba,Antes apartaba aquí.
35543,aprobaba,Antes aprobaba aquí.
35590,apostaba,Antes apostaba aquí.
35638,denunciaba,Antes denunciaba aquí.
35665,tàpies,Vimos una obra de tàpies.
35754,planteamos,Nosotros planteamos hoy.
35841,s.a.,La empresa es una s.a. española.
35869,exponía,Antes exponía mucho.
35874,irs,El informe citaba al irs.
35947,atardeceres,Me gustan los atardeceres.
36006,compartirá,Mañana compartirá.
36121,profesoras,Las profesoras llegaron pronto.
36156,empeoran,Ellos empeoran con frío.
36192,abogó,Ayer abogó sin avisar.
36194,alejará,Mañana alejará.
36287,concentraba,Antes concentraba aquí.
36386,comprobaba,Antes comprobaba aquí.
36461,tembló,Ayer tembló sin avisar.
36501,seleccionó,Ayer seleccionó sin avisar.
36601,conducimos,Nosotros conducimos hoy.
36631,señalamos,Ayer señalamos el problema.
36695,conformando,Sigo conformando ahora.
36714,instalará,Mañana instalará.
36791,cuatros,Sacó dos cuatros.
36801,garantizaba,Antes garantizaba aquí.
36861,participamos,Nosotros participamos hoy.
36880,calores,Los calores del verano agotan.
36890,integrando,Sigo integrando ahora.
36940,fabricaba,Antes fabricaba aquí.
36985,cruzará,Mañana cruzará.
36999,intimidades,No cuento intimidades.
37020,algo-,El fragmento algo- quedó incompleto.
37046,hacias,En el chat escribió hacias sin tilde.
37083,ficciones,Prefiero las ficciones breves.
37093,o'higgins,Visitamos la avenida o'higgins.
37119,consolidando,Sigo consolidando ahora.
37198,respetó,Ayer respetó sin avisar.
37247,solucionó,Ayer solucionó sin avisar.
37282,garantizando,Sigo garantizando ahora.
37313,robará,Mañana robará.
37346,gödel,Leí un ensayo sobre gödel.
37360,precisado,Ha precisado hoy.
37364,recomendaba,Antes recomendaba aquí.
37376,acceden,Ellos acceden aquí.
37423,whiskys,Compraron varios whiskys.
37436,comidos,Los dejaron medio comidos.
37453,nadas,Tú nadas muy bien.
37506,llorará,Mañana llorará.
37552,aparecidos,Se cuentan historias de aparecidos.
37705,acompañamos,Nosotros acompañamos hoy.
37716,beberá,Mañana beberá.
37841,pescamos,Nosotros pescamos hoy.
37870,desempeñando,Sigo desempeñando ahora.
37900,violencias,Condenamos todas las violencias.
37919,colono,Aquel colono volvió.
37971,criticaba,Antes criticaba aquí.
38079,aportaba,Antes aportaba aquí.
38109,insultan,Ellos insultan a todos.
38198,coaliciones,Formaron coaliciones frágiles.
38227,relacionaba,Antes relacionaba aquí.
38271,molière,Anoche hablamos de molière.
38320,llamarlas,Quiero llamarlas mañana.
38365,descansamos,Nosotros descansamos hoy.
38384,navegamos,Nosotros navegamos hoy.
38446,examenes,Los examenes empiezan mañana.
38504,nadaba,Antes nadaba aquí.
38778,pesó,Ayer pesó sin avisar.
38833,mencionando,Sigo mencionando ahora.
38921,almorzado,Ha almorzado hoy.
38962,salvaba,Antes salvaba aquí.
38998,implicando,Sigo implicando ahora.
39043,cesaba,Antes cesaba aquí.
39180,hondura,Esa frase tiene hondura.
39273,comprometía,Antes comprometía mucho.
39405,estropean,Ellos estropean aquí.
39432,navegó,Ayer navegó sin avisar.
39441,rodaba,Antes rodaba aquí.
39453,agradecía,Antes agradecía mucho.
39528,cometía,Antes cometía mucho.
39551,manejará,Mañana manejará.
39617,outs,Sumó dos outs.
39633,órden,"Escribió órden, pero está mal acentuado."
39724,consensos,Buscan consensos amplios.
39742,mp3,Todavía guardo música en mp3.
39744,pescan,Ellos pescan al amanecer.
