lemma,rank,pos,sentence,tokens,combined,reranker,lm_logp
de,1,prep,Estoy de acuerdo contigo en ese momento.,estoy de acuerdo contigo en ese momento,1.0888,1.0888,-25.2776
que,2,pron,Creo que es verdad que estás haciendo.,creo que es verdad que estás haciendo,0.4341,0.4341,-27.3871
la,3,pron,La casa está a punto de salir.,la casa está a punto de salir,0.6327,0.6327,-26.3279
no,4,,Yo no quiero ir a la gente.,yo no quiero ir a la gente,0.9762,0.9762,-26.3621
a,5,none,Voy a casa de mi padre.,voy a casa de mi padre,0.3285,0.3285,-27.4295
el,6,art,El hombre está a punto de salir.,el hombre está a punto de salir,0.2439,0.2439,-28.7549
y,7,conj,Tú y yo estamos aquí para ver.,tú y yo estamos aquí para ver,-0.3965,-0.3965,-31.3800
en,8,prep,Estoy en casa todo el mundo.,estoy en casa todo el mundo,0.9566,0.9566,-23.6730
es,9,v,Ella es la mejor forma de hablar.,ella es la mejor forma de hablar,1.2954,1.2954,-24.3692
un,10,num,Tengo un hombre con quien hablar.,tengo un hombre con quien hablar,-0.0322,-0.0322,-29.5869
lo,11,pron,Ya lo tengo que ir a ver.,ya lo tengo que ir a ver,0.2030,0.2030,-29.8997
por,12,prep,Voy por el bien del mal tiempo.,voy por el bien del mal tiempo,0.3601,0.3601,-29.8271
los,13,art,Los libros están en el mundo.,los libros están en el mundo,-1.7674,-1.7674,-28.0072
una,14,determiner,Tengo una casa de mi padre.,tengo una casa de mi padre,0.5408,0.5408,-26.1598
se,15,pron,No se sabe nada de esto.,no se sabe nada de esto,0.5598,0.5598,-26.0458
con,16,prep,Estoy con un poco más de tres.,estoy con un poco más de tres,-0.0417,-0.0417,-32.3352
qué,17,pron,No sé qué hacer con los ojos.,no sé qué hacer con los ojos,1.0077,1.0077,-25.7840
me,18,pron,Me gusta mucho el uno al otro.,me gusta mucho el uno al otro,0.3794,0.3794,-23.6965
para,19,prep,Voy para que no se puede hacer.,voy para que no se puede hacer,-0.6065,-0.6065,-34.9253
las,20,pron,Las casas son un poco de agua.,las casas son un poco de agua,-2.6140,-2.6140,-35.9128
del,21,contraction,Del en la casa de mi padre.,del en la casa de mi padre,-1.6255,-1.6255,-36.2128
te,22,pron,Te gusta mucho el uno al otro.,te gusta mucho el uno al otro,-1.1768,-1.1768,-33.4114
su,23,determiner,Su hombre está a punto de salir.,su hombre está a punto de salir,-1.5560,-1.5560,-39.9918
pero,24,conj,Quiero ir pero no puedo ver nada.,quiero ir pero no puedo ver nada,-1.0744,-1.0744,-37.8463
si,25,conj,No sé si es verdad fue.,no sé si es verdad fue,0.0455,0.0455,-28.2250
está,26,v,Ella está en contra de la ciudad.,ella está en contra de la ciudad,0.7879,0.7879,-27.5378
mi,27,determiner,Tengo mi hombre con quien hablar.,tengo mi hombre con quien hablar,-1.6006,-1.6006,-38.9671
al,28,contraction,Al menos una vez a la gente.,al menos una vez a la gente,-0.1003,-0.1003,-26.6911
sí,29,pron,Claro que sí misma no es nada.,claro que sí misma no es nada,-0.7715,-0.7715,-36.8914
como,30,conj,Es como tú no eres el único.,es como tú no eres el único,0.1611,0.1611,-30.5142
bien,31,adv,Ella está bien que no le gusta.,ella está bien que no le gusta,-0.3316,-0.3316,-33.6190
más,32,adv,Ella está más o menos la misma.,ella está más o menos la misma,0.3770,0.3770,-30.1030
eso,33,pron,Ella es eso lo que pasó aquí.,ella es eso lo que pasó aquí,-0.0451,-0.0451,-31.8303
yo,34,pron,Yo estoy aquí para ver qué pasa.,yo estoy aquí para ver qué pasa,0.2033,0.2033,-29.3895
le,35,pron,No le veo por qué lo hizo.,no le veo por qué lo hizo,-0.0834,-0.0834,-32.5961
aquí,36,adv,Aquí no hay nada que ver contigo.,aquí no hay nada que ver contigo,0.6633,0.6633,-25.2287
tu,37,determiner,Tengo tu hombre con quien hablar.,tengo tu hombre con quien hablar,-1.5650,-1.5650,-38.7545
todo,38,determiner,Todo hombre es un tipo de cosas.,todo hombre es un tipo de cosas,0.1291,0.1291,-29.4715
ha,39,v,Ha dicho que no se puede hacer.,ha dicho que no se puede hacer,0.5229,0.5229,-27.0134
ya,40,adv,Ya es hora de que la gente.,ya es hora de que la gente,0.7909,0.7909,-24.4321
o,41,conj,Quieres ir o no ser el mejor.,quieres ir o no ser el mejor,-1.4327,-1.4327,-41.0195
esto,42,pron,Esto es importante para los niños.,esto es importante para los niños,0.2561,0.2561,-26.1403
muy,43,adv,Ella está muy cerca de la ciudad.,ella está muy cerca de la ciudad,0.6351,0.6351,-28.4912
esta,44,determiner,Esta casa está a punto de salir.,esta casa está a punto de salir,0.5127,0.5127,-27.0771
ahora,45,adv,Ahora no tengo ni idea de cómo.,ahora no tengo ni idea de cómo,1.1127,1.1127,-23.3314
así,46,adv,Así es como un padre para mí.,así es como un padre para mí,0.8004,0.8004,-25.2810
cuando,47,conj,Ella está bien cuando tiene tiempo.,ella está bien cuando tiene tiempo,-3.1961,-3.1961,-47.9777
hay,48,v,Hay algo que hacer las cosas.,hay algo que hacer las cosas,0.1779,0.1779,-25.7382
este,49,determiner,Este hombre está a punto de salir.,este hombre está a punto de salir,-0.2529,-0.2529,-31.8566
algo,50,pron,Ella es algo que no le gusta.,ella es algo que no le gusta,0.0440,0.0440,-31.2741
estoy,51,v,No estoy seguro de que la gente.,no estoy seguro de que la gente,1.2816,1.2816,-23.1667
vamos,52,v,No vamos a tener que hacer algo.,no vamos a tener que hacer algo,0.6779,0.6779,-26.9354
él,53,pron,Él está aquí para ver qué pasa.,él está aquí para ver qué pasa,-0.1798,-0.1798,-31.7816
ser,54,v,Quiero ser el que más me gusta.,quiero ser el que más me gusta,1.0622,1.0622,-24.5363
bueno,55,adj,Él es bueno para el otro día.,él es bueno para el otro día,0.9744,0.9744,-26.3734
nos,56,pron,Nos gusta mucho el uno al otro.,nos gusta mucho el uno al otro,-0.9139,-0.9139,-31.7701
sus,57,determiner,Tengo sus libros no son lo mismo.,tengo sus libros no son lo mismo,-2.7668,-2.7668,-37.7280
fue,58,v,Fue el primero en llegar a ser.,fue el primero en llegar a ser,0.0796,0.0796,-25.5680
tengo,59,v,No tengo ni idea de cómo.,no tengo ni idea de cómo,1.6769,1.6769,-19.3646
era,60,v,Era la primera vez que he visto.,era la primera vez que he visto,-0.2540,-0.2540,-26.7431
nada,61,pron,Ella es nada más que un hombre.,ella es nada más que un hombre,-0.3024,-0.3024,-32.4513
tiene,62,v,No tiene nada que ver con esto.,no tiene nada que ver con esto,1.1467,1.1467,-24.0087
sé,63,v,No sé por qué no me gusta.,no sé por qué no me gusta,1.4896,1.4896,-22.7756
tú,64,pron,Tú estás aquí para ver qué pasa.,tú estás aquí para ver qué pasa,-0.7804,-0.7804,-35.5309
cómo,65,adv,Cómo es que no se puede hacer.,cómo es que no se puede hacer,0.1997,0.1997,-28.0946
vez,66,n,Una vez más personas que no puedo.,una vez más personas que no puedo,0.5607,0.5607,-28.5746
estás,67,v,No estás de acuerdo con su hermano.,no estás de acuerdo con su hermano,0.5872,0.5872,-28.4091
sólo,68,adv,Sólo tienes que ir a la gente.,sólo tienes que ir a la gente,0.3153,0.3153,-27.4015
ella,69,pron,Ella está aquí para ver qué pasa.,ella está aquí para ver qué pasa,-0.4212,-0.4212,-33.2885
son,70,v,No son lo mismo una y otra.,no son lo mismo una y otra,0.7969,0.7969,-27.0999
hacer,71,v,Voy a hacer las cosas que hacer.,voy a hacer las cosas que hacer,0.8258,0.8258,-26.1642
he,72,v,He visto en algún lugar.,he visto en algún lugar,-1.8467,-1.8467,-22.1421
porque,73,conj,Ella está bien porque tiene tiempo.,ella está bien porque tiene tiempo,-2.9792,-2.9792,-46.6804
todos,74,determiner,Todos libros son para los niños.,todos libros son para los niños,-3.2369,-3.2369,-36.7963
puedo,75,v,No puedo estar de acuerdo con él.,no puedo estar de acuerdo con él,1.1806,1.1806,-24.5560
quiero,76,v,Yo quiero un poco más de tres.,yo quiero un poco más de tres,0.8464,0.8464,-27.1725
gracias,77,n,Muchas gracias por todo el mundo.,muchas gracias por todo el mundo,0.4459,0.4459,-22.6916
puede,78,v,Ella puede hablar un poco de agua.,ella puede hablar un poco de agua,0.7989,0.7989,-27.4689
dos,79,num,Tengo dos libros en mi vida.,tengo dos libros en mi vida,-2.5071,-2.5071,-34.1534
sin,80,prep,Estoy sin la ayuda de un hombre.,estoy sin la ayuda de un hombre,0.0661,0.0661,-31.6626
soy,81,v,Yo soy el que más me gusta.,yo soy el que más me gusta,1.2584,1.2584,-23.6924
sobre,82,prep,Estoy sobre la muerte de su padre.,estoy sobre la muerte de su padre,-0.3230,-0.3230,-34.0917
ese,83,determiner,Ese hombre está a punto de salir.,ese hombre está a punto de salir,-0.6321,-0.6321,-34.2240
estaba,84,v,Estaba a punto de llegar a ser.,estaba a punto de llegar a ser,0.1467,0.1467,-25.1493
también,85,adv,Ella está también me gusta mucho.,ella está también me gusta mucho,-0.3321,-0.3321,-31.7458
tiempo,86,n,No tengo tiempo para hacer las cosas.,no tengo tiempo para hacer las cosas,1.1942,1.1942,-24.6200
tan,87,adv,Ella está tan pronto como sea posible.,ella está tan pronto como sea posible,0.5527,0.5527,-29.0059
entonces,88,adv,Entonces no hay nada que ver.,entonces no hay nada que ver,0.2170,0.2170,-25.5046
creo,89,v,No creo que es hora de hacer.,no creo que es hora de hacer,1.0703,1.0703,-24.4568
tienes,90,v,No tienes ni idea de por aquí.,no tienes ni idea de por aquí,1.1494,1.1494,-24.8998
casa,91,n,La casa está a punto de salir.,la casa está a punto de salir,0.9206,0.9206,-26.3279
usted,92,pron,Usted está aquí para ver qué pasa.,usted está aquí para ver qué pasa,-0.7935,-0.7935,-35.6128
esa,93,determiner,Esa casa está a punto de salir.,esa casa está a punto de salir,-0.3807,-0.3807,-32.6545
voy,94,v,No voy a tener que hacer eso.,no voy a tener que hacer eso,0.7428,0.7428,-26.5304
sabes,95,v,Tú sabes que no se puede hacer.,tú sabes que no se puede hacer,0.7016,0.7016,-27.1402
eres,96,v,Tú eres el único que puede hacer.,tú eres el único que puede hacer,1.1844,1.1844,-24.1258
verdad,97,n,Es verdad que no se puede hacer.,es verdad que no se puede hacer,0.4848,0.4848,-28.1122
hasta,98,prep,Estoy hasta el fin de semana pasado.,estoy hasta el fin de semana pasado,0.8198,0.8198,-26.9571
solo,99,adj,Él es solo un poco de agua.,él es solo un poco de agua,0.8457,0.8457,-27.1770
nunca,100,adv,Nunca antes había visto a un hombre.,nunca antes había visto a un hombre,-0.0329,-0.0329,-26.2702
años,101,n,Los años que no se puede hacer.,los años que no se puede hacer,-0.2684,-0.2684,-33.7507
hace,102,v,No hace nada más que un hombre.,no hace nada más que un hombre,0.8593,0.8593,-25.8027
va,103,v,Ella va a ser una buena idea.,ella va a ser una buena idea,0.9643,0.9643,-26.4362
hola,104,interj,Hola a los niños no les gusta.,hola a los niños no les gusta,-1.3357,-1.3357,-34.4038
mucho,105,determiner,Tengo mucho hombre con quien hablar.,tengo mucho hombre con quien hablar,-1.2525,-1.2525,-36.8852
quién,106,pron,No sé quién hacer eso por mí.,no sé quién hacer eso por mí,-0.6234,-0.6234,-35.9671
mejor,107,adj,Él es mejor no decir nada.,él es mejor no decir nada,0.7162,0.7162,-25.4762
vida,108,n,La vida es una de las personas.,la vida es una de las personas,1.0173,1.0173,-25.7243
decir,109,v,Voy a decir que no me gusta.,voy a decir que no me gusta,0.6489,0.6489,-27.1164
mí,110,pron,Ella es mí no me gusta mucho.,ella es mí no me gusta mucho,-0.7813,-0.7813,-37.3343
dónde,111,adv,Dónde está la madre de mi padre.,dónde está la madre de mi padre,-0.0892,-0.0892,-30.8347
ni,112,conj,No tengo ni idea de cómo.,no tengo ni idea de cómo,1.6769,1.6769,-19.3646
están,113,v,Ellos están en contra de la ciudad.,ellos están en contra de la ciudad,0.9943,0.9943,-26.2493
favor,114,n,El favor de no haber sido.,el favor de no haber sido,-0.1835,-0.1835,-26.4555
señor,115,n,El señor es uno de mis amigos.,el señor es uno de mis amigos,0.2403,0.2403,-30.5751
hombre,116,n,El hombre es un tipo de cosas.,el hombre es un tipo de cosas,0.9430,0.9430,-26.1883
oh,117,interj,Oh no es una de las personas.,oh no es una de las personas,-0.6548,-0.6548,-34.3658
siempre,118,adv,Siempre me han dicho que no puedo.,siempre me han dicho que no puedo,0.6546,0.6546,-26.1908
ver,119,v,Quiero ver a un lado para otro.,quiero ver a un lado para otro,0.7864,0.7864,-27.1654
uno,120,num,Uno hombre es un tipo de cosas.,uno hombre es un tipo de cosas,-1.5516,-1.5516,-39.9643
quieres,121,v,No quieres que te vas a hacer.,no quieres que te vas a hacer,0.5051,0.5051,-27.9857
siento,122,v,Siento como si no tienes que hacer.,siento como si no tienes que hacer,0.2412,0.2412,-27.8641
había,123,v,Había una vez cada dos días después.,había una vez cada dos días después,-0.1679,-0.1679,-27.1129
dios,124,prop,Dios es el que más me gusta.,dios es el que más me gusta,0.2708,0.2708,-27.6795
has,125,v,Has hecho con mi madre me hizo.,has hecho con mi madre me hizo,-0.5291,-0.5291,-29.3682
antes,126,adv,Antes de que no se puede hacer.,antes de que no se puede hacer,0.5297,0.5297,-26.9707
día,127,n,Es un día o dos días después.,es un día o dos días después,0.5070,0.5070,-27.4930
desde,128,prep,Estoy desde el año pasado.,estoy desde el año pasado,-2.1788,-2.1788,-29.4565
tenemos,129,v,No tenemos nada que ver con esto.,no tenemos nada que ver con esto,0.9562,0.9562,-25.1977
poco,130,adv,Ella está poco más de tres años.,ella está poco más de tres años,-0.6271,-0.6271,-36.3716
cosas,131,n,Las cosas que no se puede hacer.,las cosas que no se puede hacer,0.7357,0.7357,-27.4823
ti,132,pron,Ella es ti y a mí también.,ella es ti y a mí también,-0.9539,-0.9539,-38.4112
otra,133,determiner,Tengo otra persona a la gente.,tengo otra persona a la gente,-1.3050,-1.3050,-37.1991
mismo,134,adj,Él es mismo por lo menos tres.,él es mismo por lo menos tres,-0.6181,-0.6181,-36.3153
han,135,v,Han pasado cinco años desde que era.,han pasado cinco años desde que era,-0.0695,-0.0695,-25.5910
hecho,136,n,El hecho de que no puedo.,el hecho de que no puedo,0.4731,0.4731,-26.5645
alguien,137,pron,Ella es alguien que no le gusta.,ella es alguien que no le gusta,-0.2649,-0.2649,-33.2021
puedes,138,v,No puedes estar seguro de que estaba.,no puedes estar seguro de que estaba,0.8557,0.8557,-25.8252
ahí,139,adv,Ahí hay un poco más de tres.,ahí hay un poco más de tres,0.2996,0.2996,-28.4070
dijo,140,v,Dijo que no hay nada que ver.,dijo que no hay nada que ver,0.4598,0.4598,-26.4997
estar,141,v,Quiero estar en casa todo el mundo.,quiero estar en casa todo el mundo,0.8454,0.8454,-26.7974
entre,142,prep,Estoy entre el bien del mal tiempo.,estoy entre el bien del mal tiempo,0.0868,0.0868,-31.5334
noche,143,n,La noche en su casa está cerca.,la noche en su casa está cerca,0.2056,0.2056,-30.7916
trabajo,144,n,Tengo un trabajo de medio tiempo.,tengo un trabajo de medio tiempo,0.5549,0.5549,-25.1786
ir,145,v,Tengo que ir a la gente.,tengo que ir a la gente,1.0497,1.0497,-22.2460
después,146,adv,Ella está después de todo el mundo.,ella está después de todo el mundo,0.1347,0.1347,-31.6157
mis,147,n,Tengo mis libros a la gente.,tengo mis libros a la gente,-2.4373,-2.4373,-33.7359
sea,148,v,Sea lo que él es un hombre.,sea lo que él es un hombre,0.1369,0.1369,-29.8046
acuerdo,149,n,El acuerdo de lo que quiero hacer.,el acuerdo de lo que quiero hacer,-0.4509,-0.4509,-34.8902
otro,150,determiner,Tengo otro hombre con quien hablar.,tengo otro hombre con quien hablar,-1.6681,-1.6681,-39.3706
parece,151,v,Parece que va a ser una buena.,parece que va a ser una buena,0.8619,0.8619,-24.8967
donde,152,pron,Ella es donde se me ha dicho.,ella es donde se me ha dicho,-0.6609,-0.6609,-36.5826
ellos,153,pron,Ellos están bien con todos los días.,ellos están bien con todos los días,-0.8288,-0.8288,-35.8333
estamos,154,v,No estamos en contra de la ciudad.,no estamos en contra de la ciudad,0.6032,0.6032,-28.3093
mundo,155,n,El mundo sabe que soy una persona.,el mundo sabe que soy una persona,0.7635,0.7635,-26.3722
gente,156,n,La gente que no se puede hacer.,la gente que no se puede hacer,0.9566,0.9566,-26.1030
nosotros,157,pron,Nosotros estamos aquí para ver qué pasa.,nosotros estamos aquí para ver qué pasa,-0.3945,-0.3945,-33.1220
padre,158,n,El padre de mi casa está cerca.,el padre de mi casa está cerca,0.7968,0.7968,-27.1007
estado,159,prop,Estado aquí antes de que no puedo.,estado aquí antes de que no puedo,-1.0344,-1.0344,-36.7351
nadie,160,pron,Nadie es importante para los niños.,nadie es importante para los niños,-0.8192,-0.8192,-32.5716
tal,161,pron,Ella es tal como lo hace todo.,ella es tal como lo hace todo,0.2494,0.2494,-37.1211
les,162,pron,No les veo por qué la gente.,no les veo por qué la gente,-0.7856,-0.7856,-36.9799
parte,163,n,Es una parte de la ciudad.,es una parte de la ciudad,0.5837,0.5837,-25.9030
sido,164,v,Sido por tu casa a las mujeres.,sido por tu casa a las mujeres,-1.8895,-1.8895,-37.8607
momento,165,n,Es un momento a otro país.,es un momento a otro país,0.2205,0.2205,-28.0753
podría,166,v,Podría haber hecho lo que es hora.,podría haber hecho lo que es hora,-0.0947,-0.0947,-30.8690
menos,167,adv,Menos mal que no se puede hacer.,menos mal que no se puede hacer,0.4339,0.4339,-27.5689
mira,168,v,Mira a ese hombre es el mejor.,mira a ese hombre es el mejor,0.3647,0.3647,-28.0010
quiere,169,v,Ella quiere saber por qué lo hizo.,ella quiere saber por qué lo hizo,0.7112,0.7112,-28.0167
fuera,170,adv,Ella está fuera de la ciudad.,ella está fuera de la ciudad,0.4528,0.4528,-27.0510
gran,171,adj,Él es gran parte de la ciudad.,él es gran parte de la ciudad,-0.6030,-0.6030,-36.2207
lugar,172,n,Es un lugar de ir a ver.,es un lugar de ir a ver,0.2430,0.2430,-30.5582
hablar,173,v,Quiero hablar contigo en ese momento estaba.,quiero hablar contigo en ese momento estaba,0.7811,0.7811,-27.1986
tener,174,v,Voy a tener un poco de agua.,voy a tener un poco de agua,0.9775,0.9775,-25.9727
tenía,175,v,Tenía un poco más de tres años.,tenía un poco más de tres años,-0.3801,-0.3801,-28.4380
tres,176,num,Tengo tres libros en mi vida.,tengo tres libros en mi vida,-2.5914,-2.5914,-34.6577
nuevo,177,adj,No es nuevo a mi padre.,no es nuevo a mi padre,-0.6619,-0.6619,-33.3529
pasa,178,v,Pasa a mí también me gusta mucho.,pasa a mí también me gusta mucho,-0.4972,-0.4972,-29.1687
vas,179,v,No vas a hacer eso por mí.,no vas a hacer eso por mí,0.5465,0.5465,-28.6637
cada,180,determiner,Cada persona es un tipo de cosas.,cada persona es un tipo de cosas,0.2839,0.2839,-28.5053
claro,181,adj,No es claro que no le gusta.,no es claro que no le gusta,-0.2984,-0.2984,-33.0303
dinero,182,n,El dinero no puede haber dicho algo.,el dinero no puede haber dicho algo,0.7613,0.7613,-27.3226
madre,183,n,La madre de mi casa está cerca.,la madre de mi casa está cerca,0.7044,0.7044,-27.6778
mañana,184,n,La mañana me voy a hacer eso.,la mañana me voy a hacer eso,-0.2006,-0.2006,-33.3273
sr.,185,none,,,0.0000,0.0000,0.0000
tipo,186,n,Es un tipo de cosas que hacer.,es un tipo de cosas que hacer,1.0155,1.0155,-24.8275
hoy,187,adv,Hoy no tengo ni idea de cómo.,hoy no tengo ni idea de cómo,1.1953,1.1953,-22.8154
días,188,n,Los días son un poco de agua.,los días son un poco de agua,-0.2712,-0.2712,-33.7681
luego,189,adv,Luego de una vez a la gente.,luego de una vez a la gente,-0.6100,-0.6100,-29.8734
allí,190,adv,Allí no hay nada que ver.,allí no hay nada que ver,0.3871,0.3871,-24.4872
mujer,191,n,La mujer es una de las personas.,la mujer es una de las personas,0.7845,0.7845,-27.1778
nuestro,192,determiner,Nuestro hombre es un tipo de cosas.,nuestro hombre es un tipo de cosas,-1.2760,-1.2760,-38.2438
tanto,193,adv,Ella está tanto como a un hombre.,ella está tanto como a un hombre,-0.4190,-0.4190,-35.0724
cosa,194,n,Es una cosa que quiero hacer.,es una cosa que quiero hacer,0.5370,0.5370,-25.2855
sabe,195,v,No sabe por qué no me gusta.,no sabe por qué no me gusta,0.8128,0.8128,-27.0009
todas,196,determiner,Tengo todas personas con las manos.,tengo todas personas con las manos,-1.6135,-1.6135,-39.0441
haciendo,197,v,Haciendo todo lo que quiero hacer.,haciendo todo lo que quiero hacer,-0.7191,-0.7191,-31.9729
hijo,198,n,El hijo de mi casa está cerca.,el hijo de mi casa está cerca,0.5802,0.5802,-28.4528
dice,199,v,Ella dice que no se puede hacer.,ella dice que no se puede hacer,0.6950,0.6950,-27.1811
seguro,200,adj,No es seguro que no le gusta.,no es seguro que no le gusta,0.4883,0.4883,-28.1188
podemos,201,v,No podemos tener un poco de agua.,no podemos tener un poco de agua,0.6675,0.6675,-27.9077
debe,202,v,Debe de ser un poco de agua.,debe de ser un poco de agua,-0.1967,-0.1967,-27.2927
espera,203,v,Espera un poco más de tres años.,espera un poco más de tres años,-0.2752,-0.2752,-27.7829
vale,204,v,Vale más que a mí me gusta.,vale más que a mí me gusta,-0.5755,-0.5755,-28.7502
será,205,v,Será mejor que no se puede hacer.,será mejor que no se puede hacer,0.6645,0.6645,-26.1295
estas,206,determiner,Estas libros están en el mundo.,estas libros están en el mundo,-3.6432,-3.6432,-39.2265
toda,207,determiner,Toda persona es un tipo de cosas.,toda persona es un tipo de cosas,-0.4656,-0.4656,-33.1842
haber,208,v,Voy a haber una manera de hablar.,voy a haber una manera de hablar,-0.2796,-0.2796,-33.8209
tus,209,determiner,Tengo tus libros en mi vida.,tengo tus libros en mi vida,-3.5631,-3.5631,-40.4696
amigo,210,n,Tengo un amigo de todos los días.,tengo un amigo de todos los días,1.0198,1.0198,-25.7085
nuestra,211,determiner,Nuestra persona es un tipo de cosas.,nuestra persona es un tipo de cosas,-1.4807,-1.4807,-39.5217
buena,212,adj,Ella es buena para la vida.,ella es buena para la vida,0.3459,0.3459,-27.6905
aún,213,adv,Ella aún está en el mundo.,ella aún está en el mundo,-0.1266,-0.1266,-30.5163
quien,214,pron,Ella es quien no tiene ninguna.,ella es quien no tiene ninguna,-0.4289,-0.4289,-31.4275
estos,215,determiner,Tengo estos libros son para los niños.,tengo estos libros son para los niños,-2.6690,-2.6690,-37.1176
nombre,216,n,Es un nombre de todos los días.,es un nombre de todos los días,0.7946,0.7946,-27.1143
tienen,217,v,No tienen ni idea de cómo.,no tienen ni idea de cómo,1.0730,1.0730,-22.9768
veces,218,n,Las veces que no se puede hacer.,las veces que no se puede hacer,-0.8460,-0.8460,-37.3568
mamá,219,n,El mamá es la primera vez.,el mamá es la primera vez,-0.5794,-0.5794,-32.8592
mal,220,adv,Ella está mal de los niños.,ella está mal de los niños,-0.2696,-0.2696,-31.3720
buen,221,adj,No es buen tiempo para hacer algo.,no es buen tiempo para hacer algo,-0.6018,-0.6018,-35.8324
durante,222,prep,Estoy durante el fin de semana pasado.,estoy durante el fin de semana pasado,-0.1907,-0.1907,-33.2656
papá,223,n,Es un papá me dijo que estaba.,es un papá me dijo que estaba,-0.7597,-0.7597,-35.9102
quería,224,v,Quería ir a la gente.,quería ir a la gente,-2.1899,-2.1899,-24.0809
dije,225,v,Dije que no hay nada que ver.,dije que no hay nada que ver,0.3767,0.3767,-27.0184
unos,226,determiner,Tengo unos libros en mi vida.,tengo unos libros en mi vida,-3.0129,-3.0129,-37.1787
pasado,227,n,El pasado fin de semana pasado.,el pasado fin de semana pasado,-0.0716,-0.0716,-25.9324
forma,228,n,Es una forma de hablar con él.,es una forma de hablar con él,0.7992,0.7992,-26.9367
gusta,229,v,Gusta a todo el mundo le gusta.,gusta a todo el mundo le gusta,-1.5242,-1.5242,-35.7332
hizo,230,v,Hizo lo mejor de sí mismo.,hizo lo mejor de sí mismo,-0.4810,-0.4810,-26.5129
caso,231,n,Es un caso de tener un hijo.,es un caso de tener un hijo,0.5067,0.5067,-28.9116
contra,232,prep,Estoy contra el presidente de la ciudad.,estoy contra el presidente de la ciudad,-0.6761,-0.6761,-36.2959
tarde,233,adv,Ella está tarde a la gente.,ella está tarde a la gente,-0.5156,-0.5156,-32.8432
necesito,234,v,No necesito nada de lo que dijo.,no necesito nada de lo que dijo,0.9131,0.9131,-25.4672
oye,235,v,Oye de la vida es una persona.,oye de la vida es una persona,-1.0989,-1.0989,-37.1381
alguna,236,determiner,Alguna persona es un tipo de cosas.,alguna persona es un tipo de cosas,-1.3948,-1.3948,-38.9852
hemos,237,v,Hemos estado aquí desde hace mucho tiempo.,hemos estado aquí desde hace mucho tiempo,0.3561,0.3561,-28.0547
cuenta,238,n,Tengo una cuenta de lo que dijo.,tengo una cuenta de lo que dijo,0.6556,0.6556,-27.0743
visto,239,v,Visto desde hace mucho que hacer eso.,visto desde hace mucho que hacer eso,-1.2901,-1.2901,-37.4242
conmigo,240,adv,Ella conmigo está a punto de salir.,ella conmigo está a punto de salir,-0.7278,-0.7278,-37.0001
mientras,241,conj,Ella está bien mientras tiene tiempo.,ella está bien mientras tiene tiempo,-2.8904,-2.8904,-46.1494
otros,242,determiner,Tengo otros libros en mi vida.,tengo otros libros en mi vida,-3.8127,-3.8127,-41.9620
realmente,243,adv,Realmente no tengo ni idea de cómo.,realmente no tengo ni idea de cómo,0.8370,0.8370,-25.0521
hora,244,n,La hora de que no puedo.,la hora de que no puedo,0.3145,0.3145,-27.5133
problema,245,n,El problema es que no le gusta.,el problema es que no le gusta,0.9569,0.9569,-25.1933
crees,246,v,No crees que soy una persona.,no crees que soy una persona,0.3990,0.3990,-26.1106
año,247,n,El año que viene de una vez.,el año que viene de una vez,0.6389,0.6389,-28.0865
razón,248,n,Es un razón por la mañana.,es un razón por la mañana,-0.4740,-0.4740,-32.2289
primera,249,adj,Él es primera vez que he visto.,él es primera vez que he visto,-0.9358,-0.9358,-37.3906
cierto,250,adj,No es cierto que no le gusta.,no es cierto que no le gusta,0.4281,0.4281,-28.4948
saber,251,v,Quiero saber por qué no me gusta.,quiero saber por qué no me gusta,1.1067,1.1067,-25.1664
