lemma,rank,pos,sentence,tokens,combined,reranker,lm_logp
dicho,252,v,Dicho la verdad es que no puedo.,dicho la verdad es que no puedo,-1.1573,-1.1573,-36.5661
hacerlo,253,v,Hacerlo por mí y mi hermano mayor.,hacerlo por mí y mi hermano mayor,-1.6990,-1.6990,-36.6717
mierda,254,n,Es una mierda y el otro día.,es una mierda y el otro día,-0.3805,-0.3805,-34.4503
pues,255,conj,Es bueno pues es difícil para mí.,es bueno pues es difícil para mí,-2.4580,-2.4580,-46.4842
idea,256,n,La idea de lo que quiero hacer.,la idea de lo que quiero hacer,0.9032,0.9032,-26.4365
mío,257,determiner,Mío hombre es un tipo de cosas.,mío hombre es un tipo de cosas,-2.0893,-2.0893,-43.3209
e,258,conj,Es bueno e es difícil para mí.,es bueno e es difícil para mí,-1.8967,-1.8967,-42.9795
aunque,259,conj,Ella está bien aunque tiene tiempo.,ella está bien aunque tiene tiempo,-3.0714,-3.0714,-47.2320
familia,260,n,La familia es la primera vez.,la familia es la primera vez,0.4512,0.4512,-26.6958
hacia,261,prep,Estoy hacia la puerta de la ciudad.,estoy hacia la puerta de la ciudad,-0.6195,-0.6195,-35.9428
amor,262,n,El amor es la primera vez.,el amor es la primera vez,0.8982,0.8982,-24.0218
esos,263,determiner,Esos libros son para los niños.,esos libros son para los niños,-1.8770,-1.8770,-28.6631
pueden,264,v,No pueden ser una buena idea.,no pueden ser una buena idea,0.4578,0.4578,-26.6561
importa,265,v,Importa lo que él es un hombre.,importa lo que él es un hombre,-0.9315,-0.9315,-36.4740
todavía,266,adv,Todavía no estoy seguro de que estaba.,todavía no estoy seguro de que estaba,0.6310,0.6310,-25.4306
personas,267,n,Las personas que no se puede hacer.,las personas que no se puede hacer,0.9706,0.9706,-26.0161
policía,268,n,La policía está a punto de salir.,la policía está a punto de salir,0.4267,0.4267,-29.4111
casi,269,adv,Casi todos los días a la gente.,casi todos los días a la gente,-0.0528,-0.0528,-26.3946
contigo,270,adv,Ella está contigo en ese momento estaba.,ella está contigo en ese momento estaba,-0.5589,-0.5589,-35.9456
cualquier,271,determiner,Cualquier hombre es un tipo de cosas.,cualquier hombre es un tipo de cosas,-1.3073,-1.3073,-38.4388
demasiado,272,adv,Ella está demasiado tarde para decir.,ella está demasiado tarde para decir,-0.5300,-0.5300,-32.9292
ven,273,v,Ellos ven a mi madre me hizo.,ellos ven a mi madre me hizo,-0.6801,-0.6801,-36.7022
serio,274,adj,No es serio en el mundo.,no es serio en el mundo,-0.9522,-0.9522,-35.0891
algún,275,determiner,Algún hombre es un tipo de cosas.,algún hombre es un tipo de cosas,-1.9181,-1.9181,-42.2520
ve,276,v,No ve nada de lo que dijo.,no ve nada de lo que dijo,-0.0154,-0.0154,-31.2634
nueva,277,adj,Ella es nueva a la gente.,ella es nueva a la gente,-1.3588,-1.3588,-37.8861
eh,278,,Eh no tiene nada que ver.,eh no tiene nada que ver,-1.5191,-1.5191,-35.8882
lado,279,n,Es un lado para otro lado.,es un lado para otro lado,-0.0421,-0.0421,-29.7917
manera,280,n,Es una manera de hablar con él.,es una manera de hablar con él,0.5344,0.5344,-28.5901
cabeza,281,n,La cabeza con un amigo mío.,la cabeza con un amigo mío,-0.5962,-0.5962,-28.9238
hombres,282,n,Los hombres son más que un hombre.,los hombres son más que un hombre,0.6481,0.6481,-27.1210
historia,283,n,La historia es una de las personas.,la historia es una de las personas,0.5246,0.5246,-28.8002
dentro,284,adv,Dentro de la vida es una persona.,dentro de la vida es una persona,0.2131,0.2131,-28.9474
sería,285,v,Sería mejor que no se puede hacer.,sería mejor que no se puede hacer,0.5741,0.5741,-26.6939
salir,286,v,Voy a salir con este tiempo.,voy a salir con este tiempo,0.6234,0.6234,-25.6658
debería,287,v,Debería haber hecho lo que quiero hacer.,debería haber hecho lo que quiero hacer,0.4633,0.4633,-27.3856
van,288,v,Ellos van a hacer eso por mí.,ellos van a hacer eso por mí,0.4895,0.4895,-29.4006
ciudad,289,n,La ciudad está a punto de salir.,la ciudad está a punto de salir,0.7550,0.7550,-27.3619
ustedes,290,pron,Ustedes están bien con todos los días.,ustedes están bien con todos los días,-1.0421,-1.0421,-37.1646
muchas,291,determiner,Tengo muchas personas no les gusta.,tengo muchas personas no les gusta,-0.0807,-0.0807,-29.8766
poder,292,n,El poder está a punto de salir.,el poder está a punto de salir,-0.4351,-0.4351,-34.7915
algunos,293,determiner,Tengo algunos libros de la ciudad.,tengo algunos libros de la ciudad,-1.4224,-1.4224,-27.6662
amigos,294,n,Los amigos de los niños les gusta.,los amigos de los niños les gusta,-0.1245,-0.1245,-28.6399
chica,295,n,La chica que está en el mundo.,la chica que está en el mundo,0.8793,0.8793,-26.5859
mayor,296,adj,Ella es mayor que yo quería.,ella es mayor que yo quería,0.5492,0.5492,-25.6050
sabía,297,v,Sabía que no se puede hacer nada.,sabía que no se puede hacer nada,0.3055,0.3055,-28.3702
chicos,298,n,Los chicos son un poco de agua.,los chicos son un poco de agua,-0.1155,-0.1155,-32.7961
hermano,299,n,Tengo un hermano que vive al lado.,tengo un hermano que vive al lado,0.6700,0.6700,-26.9559
esas,300,determiner,Tengo esas personas con las manos.,tengo esas personas con las manos,-1.2399,-1.2399,-36.8099
primer,301,adj,Él es primer día del año pasado.,él es primer día del año pasado,-0.7146,-0.7146,-36.9177
país,302,n,Es un país muy en serio.,es un país muy en serio,0.6285,0.6285,-25.6354
vaya,303,v,Vaya a haber una manera de hablar.,vaya a haber una manera de hablar,-1.2528,-1.2528,-33.8864
agua,304,n,Es una agua y el otro día.,es una agua y el otro día,-0.4035,-0.4035,-34.5942
misma,305,adj,Él es misma que la gente.,él es misma que la gente,-0.9943,-0.9943,-34.8366
veo,306,v,No veo por qué no me gusta.,no veo por qué no me gusta,0.9710,0.9710,-26.0133
haces,307,v,No haces nada de lo que dijo.,no haces nada de lo que dijo,-0.0317,-0.0317,-31.3653
camino,308,n,El camino es muy importante para mí.,el camino es muy importante para mí,0.3531,0.3531,-29.8708
persona,309,n,Es una persona muy en serio.,es una persona muy en serio,0.8823,0.8823,-24.1170
iba,310,v,Iba a llegar tarde a la gente.,iba a llegar tarde a la gente,-0.4442,-0.4442,-28.8383
realidad,311,n,La realidad es un tipo de cosas.,la realidad es un tipo de cosas,0.4331,0.4331,-29.3710
fin,312,n,El fin de semana en el mundo.,el fin de semana en el mundo,-0.0756,-0.0756,-28.3343
importante,313,adj,No es importante para los niños.,no es importante para los niños,0.5727,0.5727,-25.9692
primero,314,adj,Él es primero en llegar a ser.,él es primero en llegar a ser,-0.2109,-0.2109,-33.7728
digo,315,v,No digo nada más que un hombre.,no digo nada más que un hombre,0.6208,0.6208,-27.2919
horas,316,n,Las horas son las cinco en punto.,las horas son las cinco en punto,-0.8849,-0.8849,-37.5997
semana,317,n,La semana que viene de una vez.,la semana que viene de una vez,0.6438,0.6438,-28.0561
puerta,318,n,La puerta no se puede hacer nada.,la puerta no se puede hacer nada,0.5566,0.5566,-28.6000
somos,319,v,No somos tan pronto como sea posible.,no somos tan pronto como sea posible,0.4259,0.4259,-29.4160
pensé,320,v,Pensé que iba a ser una buena.,pensé que iba a ser una buena,-0.1285,-0.1285,-25.9593
bajo,321,prep,Estoy bajo el nombre de tu parte.,estoy bajo el nombre de tu parte,-0.6510,-0.6510,-36.1391
muerte,322,n,La muerte es una de las personas.,la muerte es una de las personas,0.6284,0.6284,-28.1520
problemas,323,n,Los problemas de los niños les gusta.,los problemas de los niños les gusta,-0.2098,-0.2098,-29.1724
punto,324,n,Es un punto de llegar a ser.,es un punto de llegar a ser,0.4671,0.4671,-29.1588
ah,325,,Ah es la mejor forma de hablar.,ah es la mejor forma de hablar,-1.1554,-1.1554,-37.4905
pasó,326,v,Pasó por la mañana a esta hora.,pasó por la mañana a esta hora,-0.4786,-0.4786,-29.0526
quizá,327,adv,Quizá no es lo que es hora.,quizá no es lo que es hora,-1.0253,-1.0253,-35.7421
buenas,328,adj,Él es buenas y el otro día.,él es buenas y el otro día,-0.7599,-0.7599,-37.2002
supuesto,329,n,El supuesto que te vas a hacer.,el supuesto que te vas a hacer,-0.9297,-0.9297,-37.8790
cuatro,330,num,Tengo cuatro libros en mi vida.,tengo cuatro libros en mi vida,-3.0881,-3.0881,-37.6283
da,331,v,No da un poco más de tres.,no da un poco más de tres,-0.8010,-0.8010,-37.0760
mano,332,n,Es una mano con un amigo mío.,es una mano con un amigo mío,0.0087,0.0087,-32.0209
niños,333,n,Los niños no se puede hacer nada.,los niños no se puede hacer nada,0.8228,0.8228,-26.9388
volver,334,v,Tengo que volver a ver qué pasa.,tengo que volver a ver qué pasa,0.7660,0.7660,-26.3854
además,335,adv,Además de ser un poco de agua.,además de ser un poco de agua,-0.3884,-0.3884,-28.4899
señora,336,n,La señora es al mismo tiempo.,la señora es al mismo tiempo,-0.1649,-0.1649,-30.3803
cariño,337,n,El cariño es al mismo tiempo.,el cariño es al mismo tiempo,-0.9837,-0.9837,-35.2775
ayuda,338,n,La ayuda de los niños les gusta.,la ayuda de los niños les gusta,-0.2490,-0.2490,-29.4169
ojos,339,n,Los ojos de ella es una persona.,los ojos de ella es una persona,0.2756,0.2756,-30.7362
cinco,340,num,Tengo cinco libros en mi vida.,tengo cinco libros en mi vida,-3.0931,-3.0931,-37.6580
pasar,341,v,Voy a pasar el fin de semana.,voy a pasar el fin de semana,0.9222,0.9222,-26.3176
general,342,adj,Él es general a los niños.,él es general a los niños,-0.6184,-0.6184,-33.4578
pronto,343,adv,Ella está pronto de lo que dijo.,ella está pronto de lo que dijo,-0.4836,-0.4836,-34.5675
debo,344,v,Debo saber por qué no me gusta.,debo saber por qué no me gusta,-0.6218,-0.6218,-29.9470
minutos,345,n,Tengo unos minutos más tarde de noche.,tengo unos minutos más tarde de noche,-0.6953,-0.6953,-36.4159
sino,346,conj,Es bueno sino es difícil para mí.,es bueno sino es difícil para mí,-2.0051,-2.0051,-43.6564
gobierno,347,n,El gobierno está a punto de salir.,el gobierno está a punto de salir,0.2192,0.2192,-30.7065
manos,348,n,Las manos antes de que no puedo.,las manos antes de que no puedo,0.3881,0.3881,-29.6525
presidente,349,n,El presidente está a punto de salir.,el presidente está a punto de salir,0.2276,0.2276,-30.6540
muerto,350,adj,Él es muerto en un lugar donde.,él es muerto en un lugar donde,-0.6003,-0.6003,-36.2041
muchos,351,determiner,Tengo muchos libros en mi vida.,tengo muchos libros en mi vida,0.5031,0.5031,-26.3849
chico,352,n,El chico que está en el mundo.,el chico que está en el mundo,0.9028,0.9028,-26.4391
guerra,353,n,La guerra es la primera vez.,la guerra es la primera vez,0.5710,0.5710,-25.9793
hice,354,v,Hice todo lo que es un hombre.,hice todo lo que es un hombre,0.3601,0.3601,-28.0295
incluso,355,adv,Incluso un niño que está haciendo.,incluso un niño que está haciendo,0.2109,0.2109,-26.4108
medio,356,n,Es un medio de la ciudad.,es un medio de la ciudad,0.3687,0.3687,-27.1890
cuál,357,pron,No sé cuál hacer eso por mí.,no sé cuál hacer eso por mí,-0.8875,-0.8875,-37.6154
hablando,358,v,Hablando de lo que dijo.,hablando de lo que dijo,-2.8641,-2.8641,-27.0679
adiós,359,n,El adiós es al mismo tiempo.,el adiós es al mismo tiempo,-1.2047,-1.2047,-35.2417
siquiera,360,adv,Ella siquiera está a punto de salir.,ella siquiera está a punto de salir,-1.2592,-1.2592,-40.3172
genial,361,adj,Él es genial en el mundo.,él es genial en el mundo,-1.5973,-1.5973,-39.3124
fueron,362,v,Fueron a la chica que está haciendo.,fueron a la chica que está haciendo,0.3542,0.3542,-28.0662
ello,363,pron,Ella es ello por la mañana.,ella es ello por la mañana,-1.3979,-1.3979,-38.1200
rápido,364,adj,Él es rápido de lo que dijo.,él es rápido de lo que dijo,-0.8068,-0.8068,-36.5851
equipo,365,n,El equipo está a punto de salir.,el equipo está a punto de salir,-0.3410,-0.3410,-34.2039
dejar,366,v,Voy a dejar de hablar con él.,voy a dejar de hablar con él,0.6403,0.6403,-27.9285
significa,367,v,Significa que no hay nada que ver.,significa que no hay nada que ver,-0.3895,-0.3895,-31.8014
jefe,368,n,El jefe está a punto de salir.,el jefe está a punto de salir,0.0096,0.0096,-32.0155
millones,369,n,Los millones de personas que no puedo.,los millones de personas que no puedo,-0.3047,-0.3047,-33.9772
suerte,370,n,Es una suerte de tener un hijo.,es una suerte de tener un hijo,0.1002,0.1002,-31.4496
otras,371,determiner,Tengo otras personas con las manos.,tengo otras personas con las manos,-1.5174,-1.5174,-38.4697
ayer,372,adv,Ella está ayer por la mañana.,ella está ayer por la mañana,-0.1832,-0.1832,-30.8548
cuerpo,373,n,El cuerpo de un año y medio.,el cuerpo de un año y medio,0.0444,0.0444,-27.5853
llegar,374,v,Voy a llegar tarde a la gente.,voy a llegar tarde a la gente,0.9023,0.9023,-26.4420
mujeres,375,n,Las mujeres no se puede hacer eso.,las mujeres no se puede hacer eso,0.5696,0.5696,-28.5189
posible,376,adj,No es posible que no le gusta.,no es posible que no le gusta,0.6427,0.6427,-27.1549
según,377,prep,Estoy según es al mismo tiempo.,estoy según es al mismo tiempo,-1.2358,-1.2358,-35.8885
nuestros,378,determiner,Nuestros libros son para los niños.,nuestros libros son para los niños,-1.7737,-1.7737,-38.2807
quizás,379,adv,Quizás sea un poco más de tres.,quizás sea un poco más de tres,-0.7934,-0.7934,-31.0179
tierra,380,n,La tierra es un tipo de cosas.,la tierra es un tipo de cosas,0.7767,0.7767,-27.2259
único,381,adj,Él es único al que le gusta.,él es único al que le gusta,-1.2666,-1.2666,-39.4560
hija,382,n,La hija de mi casa está cerca.,la hija de mi casa está cerca,0.5851,0.5851,-28.4224
ninguna,383,determiner,Ninguna persona es un tipo de cosas.,ninguna persona es un tipo de cosas,-0.4962,-0.4962,-33.3752
final,384,n,El final está a punto de salir.,el final está a punto de salir,-0.7224,-0.7224,-36.5850
cara,385,n,La cara que no se puede hacer.,la cara que no se puede hacer,0.1553,0.1553,-31.1058
niño,386,n,El niño es un tipo de cosas.,el niño es un tipo de cosas,0.7462,0.7462,-27.4166
supongo,387,v,Supongo que es hora de que estaba.,supongo que es hora de que estaba,0.5031,0.5031,-26.2293
juntos,388,adj,Él es juntos a la gente.,él es juntos a la gente,-0.5366,-0.5366,-32.9690
algunas,389,determiner,Tengo algunas personas no les gusta.,tengo algunas personas no les gusta,0.1568,0.1568,-28.4564
entiendo,390,v,Entiendo lo que él es un hombre.,entiendo lo que él es un hombre,0.1543,0.1543,-29.6954
número,391,n,El número de personas que no puedo.,el número de personas que no puedo,0.5381,0.5381,-28.7160
ningún,392,determiner,Ningún hombre es un tipo de cosas.,ningún hombre es un tipo de cosas,-0.3345,-0.3345,-32.3660
deja,393,v,Deja que te vas a hacer eso.,deja que te vas a hacer eso,0.4574,0.4574,-27.4222
ves,394,v,No ves que estoy aquí para ver.,no ves que estoy aquí para ver,0.5452,0.5452,-27.7354
tío,395,n,El tío es un tipo de cosas.,el tío es un tipo de cosas,0.0342,0.0342,-31.8618
cerca,396,adv,Cerca de la vida es una persona.,cerca de la vida es una persona,0.0916,0.0916,-29.7060
corazón,397,n,El corazón es al mismo tiempo.,el corazón es al mismo tiempo,-0.0821,-0.0821,-29.8849
miedo,398,n,El miedo es al mismo tiempo.,el miedo es al mismo tiempo,-0.0245,-0.0245,-29.5406
buenos,399,adj,Él es buenos para la vida.,él es buenos para la vida,-0.8616,-0.8616,-34.9123
eran,400,v,Eran las personas que no le gusta.,eran las personas que no le gusta,-1.2332,-1.2332,-32.8559
haya,401,v,Haya dicho algo así en mi vida.,haya dicho algo así en mi vida,-1.8329,-1.8329,-37.5080
hubiera,402,v,Hubiera dicho la verdad es que ya.,hubiera dicho la verdad es que ya,-0.6109,-0.6109,-33.1834
feliz,403,adj,No es feliz o no ser.,no es feliz o no ser,0.3142,0.3142,-27.5148
unas,404,determiner,Tengo unas casas por la mañana.,tengo unas casas por la mañana,-3.5626,-3.5626,-40.4664
espero,405,v,No espero que no se puede hacer.,no espero que no se puede hacer,0.6192,0.6192,-27.2732
igual,406,adj,No es igual a la gente.,no es igual a la gente,0.2701,0.2701,-27.7787
viene,407,v,Ella viene de una vez por todas.,ella viene de una vez por todas,0.3932,0.3932,-30.0014
meses,408,n,Los meses que no se puede hacer.,los meses que no se puede hacer,-0.2970,-0.2970,-33.9290
sigue,409,v,Sigue en el mundo está de acuerdo.,sigue en el mundo está de acuerdo,-0.3631,-0.3631,-32.5442
dar,410,v,Voy a dar las gracias a dios.,voy a dar las gracias a dios,0.7271,0.7271,-27.5359
podía,411,v,Podía hacer nada más que un hombre.,podía hacer nada más que un hombre,-1.6195,-1.6195,-34.2825
última,412,adj,Él es última vez que he visto.,él es última vez que he visto,-1.0185,-1.0185,-37.9072
difícil,413,adj,No es difícil de lo que dijo.,no es difícil de lo que dijo,0.5185,0.5185,-27.9304
os,414,interj,Os he dicho que no hay nada.,os he dicho que no hay nada,0.3048,0.3048,-28.3749
venir,415,v,Voy a venir aquí a las mujeres.,voy a venir aquí a las mujeres,0.0247,0.0247,-31.9212
vi,416,v,Vi a un hombre que está haciendo.,vi a un hombre que está haciendo,0.5023,0.5023,-27.1416
viejo,417,n,El viejo de lo que quiero hacer.,el viejo de lo que quiero hacer,0.3399,0.3399,-29.9534
bastante,418,adv,Ella está bastante seguro de que estaba.,ella está bastante seguro de que estaba,-0.5130,-0.5130,-34.7514
tomar,419,v,Voy a tomar un poco de agua.,voy a tomar un poco de agua,0.8900,0.8900,-26.5192
gustaría,420,v,Gustaría un poco más de tres años.,gustaría un poco más de tres años,-2.2351,-2.2351,-40.0188
cuánto,421,determiner,Cuánto hombre es un tipo de cosas.,cuánto hombre es un tipo de cosas,-1.8896,-1.8896,-42.0744
encontrar,422,v,Tengo que encontrar un lugar donde.,tengo que encontrar un lugar donde,0.6581,0.6581,-24.5882
adelante,423,adv,Ella adelante está a punto de salir.,ella adelante está a punto de salir,-1.1235,-1.1235,-39.4703
justo,424,adj,No es justo lo que ha hecho.,no es justo lo que ha hecho,0.6045,0.6045,-27.3935
sentido,425,n,El sentido es al mismo tiempo.,el sentido es al mismo tiempo,-0.6287,-0.6287,-33.1546
esposa,426,n,La esposa de mi casa está cerca.,la esposa de mi casa está cerca,0.5119,0.5119,-28.8792
segundo,427,adj,Él es segundo a la gente.,él es segundo a la gente,-1.2821,-1.2821,-37.4276
grande,428,adj,Él es grande y el otro día.,él es grande y el otro día,-0.3782,-0.3782,-34.8177
allá,429,adv,Allá donde no hay nada que ver.,allá donde no hay nada que ver,-0.0316,-0.0316,-29.5673
clase,430,n,La clase de persona es un hombre.,la clase de persona es un hombre,0.7610,0.7610,-27.3244
cual,431,pron,Ella es cual en el mundo.,ella es cual en el mundo,-1.4566,-1.4566,-38.4712
ante,432,prep,Estoy ante todo el día de hoy.,estoy ante todo el día de hoy,-1.2615,-1.2615,-38.5341
juego,433,n,Es un juego de hoy en día.,es un juego de hoy en día,0.8855,0.8855,-26.5471
tenido,434,v,Tenido un poco más de tres años.,tenido un poco más de tres años,-1.5711,-1.5711,-35.8732
pensar,435,v,Tengo que pensar en otra parte.,tengo que pensar en otra parte,0.3382,0.3382,-26.5016
pueda,436,v,Pueda hacer para que no hay nada.,pueda hacer para que no hay nada,-1.0525,-1.0525,-36.8484
hey,437,,Hey es la mejor forma de hablar.,hey es la mejor forma de hablar,-1.1096,-1.1096,-37.2051
doctor,438,n,El doctor me dijo que no puedo.,el doctor me dijo que no puedo,0.9128,0.9128,-26.3769
grupo,439,n,El grupo de gente que no puedo.,el grupo de gente que no puedo,0.3020,0.3020,-30.1895
cuidado,440,n,Es un cuidado de no haber sido.,es un cuidado de no haber sido,0.0344,0.0344,-31.8605
suficiente,441,adj,No es suficiente para todos los días.,no es suficiente para todos los días,0.8098,0.8098,-27.0199
sangre,442,n,La sangre es al mismo tiempo.,la sangre es al mismo tiempo,0.1257,0.1257,-28.6426
pequeño,443,adj,Él es pequeño por la mañana.,él es pequeño por la mañana,-1.2356,-1.2356,-37.1496
dijiste,444,v,Dijiste que no hay nada que ver.,dijiste que no hay nada que ver,0.2519,0.2519,-27.7972
trata,445,v,Trata de una vez a la gente.,trata de una vez a la gente,-0.3001,-0.3001,-27.9384
haré,446,v,Haré todo lo que quiero hacer.,haré todo lo que quiero hacer,0.4745,0.4745,-24.8342
último,447,adj,Él es último en llegar a ser.,él es último en llegar a ser,-0.5719,-0.5719,-36.0265
frente,448,n,Es un frente a mi hermano mayor.,es un frente a mi hermano mayor,-0.3773,-0.3773,-34.4307
grandes,449,adj,Él es grandes que las mujeres.,él es grandes que las mujeres,-0.5893,-0.5893,-32.4143
venga,450,v,Venga a mi casa está a punto.,venga a mi casa está a punto,-0.4783,-0.4783,-33.2634
llama,451,v,Llama a la chica que está haciendo.,llama a la chica que está haciendo,0.2122,0.2122,-28.9527
noches,452,n,Los noches son un poco de agua.,los noches son un poco de agua,-1.5733,-1.5733,-41.8968
toma,453,v,Toma mi mano en el año pasado.,toma mi mano en el año pasado,-0.8929,-0.8929,-31.6390
necesita,454,v,Necesita un poco más de tres años.,necesita un poco más de tres años,-0.9144,-0.9144,-31.7733
debes,455,v,Debes de ser un poco de agua.,debes de ser un poco de agua,-0.3066,-0.3066,-27.9788
arriba,456,adv,Ella está arriba de la ciudad.,ella está arriba de la ciudad,-0.8400,-0.8400,-34.7835
vuelta,457,n,Es un vuelta a la gente.,es un vuelta a la gente,-0.8134,-0.8134,-34.2588
coche,458,n,El coche de mi casa está cerca.,el coche de mi casa está cerca,0.4894,0.4894,-29.0197
tampoco,459,adv,Tampoco se nos va a ser.,tampoco se nos va a ser,0.5377,0.5377,-24.4562
trabajar,460,v,Voy a trabajar en un lugar donde.,voy a trabajar en un lugar donde,0.6091,0.6091,-28.2726
cuándo,461,adv,Ella está cuándo fue la primera vez.,ella está cuándo fue la primera vez,-0.3289,-0.3289,-34.5100
fuerte,462,adj,Él es fuerte como un niño.,él es fuerte como un niño,0.1428,0.1428,-28.9052
seguridad,463,n,La seguridad es al mismo tiempo.,la seguridad es al mismo tiempo,0.0939,0.0939,-28.8326
mas,464,,Mas que a mí también me gusta.,mas que a mí también me gusta,-2.6130,-2.6130,-41.4700
entrar,465,v,Voy a entrar en la misma.,voy a entrar en la misma,0.3794,0.3794,-27.1250
vivir,466,v,Quiero vivir en un lugar donde.,quiero vivir en un lugar donde,0.6790,0.6790,-25.3328
escucha,467,v,Escucha lo que él es un hombre.,escucha lo que él es un hombre,-0.0556,-0.0556,-31.0064
déjame,468,v,Déjame hablar con él por su cuenta.,déjame hablar con él por su cuenta,-0.9333,-0.9333,-31.8918
pueblo,469,n,El pueblo está a punto de salir.,el pueblo está a punto de salir,0.2846,0.2846,-30.2986
hijos,470,n,Los hijos de una vez por todas.,los hijos de una vez por todas,-0.6440,-0.6440,-31.8832
joven,471,adj,Él es joven y el otro día.,él es joven y el otro día,0.3960,0.3960,-29.9840
cuanto,472,adv,Ella está cuanto a mí me gusta.,ella está cuanto a mí me gusta,-0.2580,-0.2580,-34.0671
hago,473,v,Yo hago lo que pasó aquí.,yo hago lo que pasó aquí,0.2115,0.2115,-27.6249
escuela,474,n,La escuela está a punto de salir.,la escuela está a punto de salir,0.4471,0.4471,-29.2842
tras,475,prep,Estoy tras la muerte de su padre.,estoy tras la muerte de su padre,-0.7499,-0.7499,-36.7567
cree,476,v,No cree que es hora de hacer.,no cree que es hora de hacer,0.2775,0.2775,-29.4067
cambio,477,n,Es un cambio de un amigo mío.,es un cambio de un amigo mío,0.0038,0.0038,-32.0513
luz,478,n,La luz es más que un hombre.,la luz es más que un hombre,0.1883,0.1883,-29.9915
oportunidad,479,n,Es una oportunidad de ver las cosas.,es una oportunidad de ver las cosas,0.4767,0.4767,-29.0989
fui,480,v,Fui el primero en llegar a ser.,fui el primero en llegar a ser,-0.1010,-0.1010,-26.6953
sistema,481,n,El sistema está a punto de salir.,el sistema está a punto de salir,0.1850,0.1850,-30.9200
embargo,482,n,El embargo está a punto de salir.,el embargo está a punto de salir,-1.3987,-1.3987,-40.8073
teléfono,483,n,El teléfono es más que un hombre.,el teléfono es más que un hombre,0.1805,0.1805,-30.0403
dices,484,v,No dices nada de lo que dijo.,no dices nada de lo que dijo,-0.1389,-0.1389,-32.0345
seis,485,num,Tengo seis libros en mi vida.,tengo seis libros en mi vida,-2.0626,-2.0626,-41.7302
alto,486,adj,Él es alto y el otro día.,él es alto y el otro día,0.4008,0.4008,-29.9542
habla,487,v,Ella habla como si no me gusta.,ella habla como si no me gusta,0.6886,0.6886,-28.1578
fiesta,488,n,Es una fiesta de esta manera.,es una fiesta de esta manera,0.0727,0.0727,-28.9593
loco,489,n,Es un loco para hacer las cosas.,es un loco para hacer las cosas,-0.8173,-0.8173,-37.1777
atrás,490,adv,Ella está atrás de la ciudad.,ella está atrás de la ciudad,-0.7965,-0.7965,-34.5231
debemos,491,v,Debemos salir de casa a las mujeres.,debemos salir de casa a las mujeres,-0.5592,-0.5592,-29.5558
pregunta,492,n,Tengo una pregunta muy en serio.,tengo una pregunta muy en serio,0.4810,0.4810,-26.5174
hacen,493,v,No hacen más que un hombre.,no hacen más que un hombre,-0.0154,-0.0154,-28.6167
seguir,494,v,Voy a seguir haciendo esto todo.,voy a seguir haciendo esto todo,-0.0723,-0.0723,-29.8265
quieren,495,v,No quieren hablar con la gente.,no quieren hablar con la gente,0.2580,0.2580,-27.8513
dio,496,v,Dio todo el mundo es un hombre.,dio todo el mundo es un hombre,-0.6614,-0.6614,-34.4066
paso,497,n,Es un paso más de tres años.,es un paso más de tres años,-0.1729,-0.1729,-33.1544
falta,498,n,La falta de agua en el mundo.,la falta de agua en el mundo,-0.1441,-0.1441,-28.7621
fácil,499,adj,No es fácil de hacer las cosas.,no es fácil de hacer las cosas,0.9937,0.9937,-25.8717
ido,500,v,Ido a la gente no le gusta.,ido a la gente no le gusta,-1.6220,-1.6220,-36.1912
